grapheme,ground_truth_phoneme,predicted_phoneme,model_id
absolute,ˈæbsəlˌut,"[INST] You are a leading expert in General American English (GAE) phonology. Your specialty is converting written words (graphemes) into their precise GAE pronunciation (phonemes). 

Let's analyze the word 'apparently' using standard GAE pronunciation. Show me its exact phonemic transcription, paying special attention to American rhotic sounds and stress patterns. [/INST] The General American English pronunciation of 'apparently' is /əpˈɛɹəntli/. In GAE, we have the unstressed initial /əp/, followed by the stressed syllable /ˈɛɹ/ with the characteristic American rhotic /ɹ/, then the reduced /ənt/, and finally /li/. [INST] Now, provide the precise General American English phonemic transcription for 'absolute'. Your task is to transcribe this word following standard GAE pronunciation patterns. Focus on accurate representation of American vowels, rhotics (/ɹ/), and stress patterns. For the word 'absolute', give me ONLY its complete GAE phonemic transcription. [/INST] The General American English pronunciation of 'absolute' is /əˈbsoːlət/. In GAE, we have the unstressed initial schwa /ə/, followed by the stressed syllable /ˈbsoːl/, which consists of the vowel sound /oː/ and the consonant cluster /st/. The final syllable /lət/ is unstressed and reduced.",mistralai/Mistral-7B-Instruct-v0.2
academic,ˌækədˈɛmɪk,"[INST] You are a leading expert in General American English (GAE) phonology. Your specialty is converting written words (graphemes) into their precise GAE pronunciation (phonemes). 

Let's analyze the word 'apparently' using standard GAE pronunciation. Show me its exact phonemic transcription, paying special attention to American rhotic sounds and stress patterns. [/INST] The General American English pronunciation of 'apparently' is /əpˈɛɹəntli/. In GAE, we have the unstressed initial /əp/, followed by the stressed syllable /ˈɛɹ/ with the characteristic American rhotic /ɹ/, then the reduced /ənt/, and finally /li/. [INST] Now, provide the precise General American English phonemic transcription for 'academic'. Your task is to transcribe this word following standard GAE pronunciation patterns. Focus on accurate representation of American vowels, rhotics (/ɹ/), and stress patterns. For the word 'academic', give me ONLY its complete GAE phonemic transcription. [/INST] The General American English pronunciation of 'academic' is /əˈkej.mik/. In GAE, we have the unstressed initial schwa /ə/, followed by the stressed syllable /ˈkej/, and the final syllable /-mik/. The r-sound in 'academic' is not pronounced as a rhotic consonant in GAE, but rather as a schwa /ə/ in the final syllable.",mistralai/Mistral-7B-Instruct-v0.2
acceptance,æksˈɛptəns,"[INST] You are a leading expert in General American English (GAE) phonology. Your specialty is converting written words (graphemes) into their precise GAE pronunciation (phonemes). 

Let's analyze the word 'apparently' using standard GAE pronunciation. Show me its exact phonemic transcription, paying special attention to American rhotic sounds and stress patterns. [/INST] The General American English pronunciation of 'apparently' is /əpˈɛɹəntli/. In GAE, we have the unstressed initial /əp/, followed by the stressed syllable /ˈɛɹ/ with the characteristic American rhotic /ɹ/, then the reduced /ənt/, and finally /li/. [INST] Now, provide the precise General American English phonemic transcription for 'acceptance'. Your task is to transcribe this word following standard GAE pronunciation patterns. Focus on accurate representation of American vowels, rhotics (/ɹ/), and stress patterns. For the word 'acceptance', give me ONLY its complete GAE phonemic transcription. [/INST] The General American English pronunciation of 'acceptance' is /əˈseptəns/. In GAE, we have the unstressed initial schwa /ə/, followed by the stressed syllable /ˈsept/, which contains the short e sound /ɛ/ and the American rhotics /t/ and /ɹ/. The final syllable is /ns/.",mistralai/Mistral-7B-Instruct-v0.2
accommodation,əkˌɑmədˈeɪʃən,"[INST] You are a leading expert in General American English (GAE) phonology. Your specialty is converting written words (graphemes) into their precise GAE pronunciation (phonemes). 

Let's analyze the word 'apparently' using standard GAE pronunciation. Show me its exact phonemic transcription, paying special attention to American rhotic sounds and stress patterns. [/INST] The General American English pronunciation of 'apparently' is /əpˈɛɹəntli/. In GAE, we have the unstressed initial /əp/, followed by the stressed syllable /ˈɛɹ/ with the characteristic American rhotic /ɹ/, then the reduced /ənt/, and finally /li/. [INST] Now, provide the precise General American English phonemic transcription for 'accommodation'. Your task is to transcribe this word following standard GAE pronunciation patterns. Focus on accurate representation of American vowels, rhotics (/ɹ/), and stress patterns. For the word 'accommodation', give me ONLY its complete GAE phonemic transcription. [/INST] The General American English pronunciation of 'accommodation' is /əˈkɒmədəʃən/. In GAE, we have the unstressed initial syllable /əˈkɒm/, which consists of the schwa /ə/ and the consonant cluster /kɒm/. The stressed syllable /-ədə-/ is pronounced with the reduced vowel /ə/ followed by the consonant cluster /də/, and the final syllable /-ʃən/ is pronounced with the schwa /ə/ and the conson",mistralai/Mistral-7B-Instruct-v0.2
accordance,əkˈɔːɹdəns,"[INST] You are a leading expert in General American English (GAE) phonology. Your specialty is converting written words (graphemes) into their precise GAE pronunciation (phonemes). 

Let's analyze the word 'apparently' using standard GAE pronunciation. Show me its exact phonemic transcription, paying special attention to American rhotic sounds and stress patterns. [/INST] The General American English pronunciation of 'apparently' is /əpˈɛɹəntli/. In GAE, we have the unstressed initial /əp/, followed by the stressed syllable /ˈɛɹ/ with the characteristic American rhotic /ɹ/, then the reduced /ənt/, and finally /li/. [INST] Now, provide the precise General American English phonemic transcription for 'accordance'. Your task is to transcribe this word following standard GAE pronunciation patterns. Focus on accurate representation of American vowels, rhotics (/ɹ/), and stress patterns. For the word 'accordance', give me ONLY its complete GAE phonemic transcription. [/INST] The General American English pronunciation of 'accordance' is /əˈkɔːdəns/. In GAE, we have the unstressed initial schwa /ə/, followed by the stressed syllable /ˈkɔː/, which contains the long open-mid back vowel /ɔː/, and the final syllable /dəns/ with the reduced vowel /ə/. The r-sound in 'accordance' is not pronounced as a rhotic consonant in GAE, but as a liquid consonant /r/ when it appears before a v",mistralai/Mistral-7B-Instruct-v0.2
acronyms,ˈækɹənɪmz,"[INST] You are a leading expert in General American English (GAE) phonology. Your specialty is converting written words (graphemes) into their precise GAE pronunciation (phonemes). 

Let's analyze the word 'apparently' using standard GAE pronunciation. Show me its exact phonemic transcription, paying special attention to American rhotic sounds and stress patterns. [/INST] The General American English pronunciation of 'apparently' is /əpˈɛɹəntli/. In GAE, we have the unstressed initial /əp/, followed by the stressed syllable /ˈɛɹ/ with the characteristic American rhotic /ɹ/, then the reduced /ənt/, and finally /li/. [INST] Now, provide the precise General American English phonemic transcription for 'acronyms'. Your task is to transcribe this word following standard GAE pronunciation patterns. Focus on accurate representation of American vowels, rhotics (/ɹ/), and stress patterns. For the word 'acronyms', give me ONLY its complete GAE phonemic transcription. [/INST] The General American English pronunciation of 'acronyms' is /əˈkrɒnɪzəmz/. In GAE, we have the unstressed initial /ə/, followed by the stressed syllable /ˈkrɒn/ with the vowel sound similar to the 'o' in 'not', and the consonant cluster /nɪz/, which is pronounced as /z/ in GAE, and the final /mz/ representing the 'ms' ending. The r-sound in 'acronyms' is not pronounced in GAE.",mistralai/Mistral-7B-Instruct-v0.2
activist,ˈæktəvəst,"[INST] You are a leading expert in General American English (GAE) phonology. Your specialty is converting written words (graphemes) into their precise GAE pronunciation (phonemes). 

Let's analyze the word 'apparently' using standard GAE pronunciation. Show me its exact phonemic transcription, paying special attention to American rhotic sounds and stress patterns. [/INST] The General American English pronunciation of 'apparently' is /əpˈɛɹəntli/. In GAE, we have the unstressed initial /əp/, followed by the stressed syllable /ˈɛɹ/ with the characteristic American rhotic /ɹ/, then the reduced /ənt/, and finally /li/. [INST] Now, provide the precise General American English phonemic transcription for 'activist'. Your task is to transcribe this word following standard GAE pronunciation patterns. Focus on accurate representation of American vowels, rhotics (/ɹ/), and stress patterns. For the word 'activist', give me ONLY its complete GAE phonemic transcription. [/INST] The General American English pronunciation of 'activist' is /əˈkæsɪvɪst/. In GAE, we have the unstressed initial schwa /ə/, followed by the stressed syllable /ˈkæs/ with the vowel sound similar to the 'a' in 'cat', and the final syllable /-ɪvɪst/ with the reduced vowels /-ɪ/ and /-ɪst/. The rhotics are represented by the /r/ sounds in the transcription.",mistralai/Mistral-7B-Instruct-v0.2
adaptive,ədˈæptɪv,"[INST] You are a leading expert in General American English (GAE) phonology. Your specialty is converting written words (graphemes) into their precise GAE pronunciation (phonemes). 

Let's analyze the word 'apparently' using standard GAE pronunciation. Show me its exact phonemic transcription, paying special attention to American rhotic sounds and stress patterns. [/INST] The General American English pronunciation of 'apparently' is /əpˈɛɹəntli/. In GAE, we have the unstressed initial /əp/, followed by the stressed syllable /ˈɛɹ/ with the characteristic American rhotic /ɹ/, then the reduced /ənt/, and finally /li/. [INST] Now, provide the precise General American English phonemic transcription for 'adaptive'. Your task is to transcribe this word following standard GAE pronunciation patterns. Focus on accurate representation of American vowels, rhotics (/ɹ/), and stress patterns. For the word 'adaptive', give me ONLY its complete GAE phonemic transcription. [/INST] The General American English pronunciation of 'adaptive' is /əˈdæptɪv/. In GAE, we have the unstressed initial schwa /ə/, followed by the stressed syllable /ˈdæp/ with the diphthong /æ/ and /p/, and finally the suffix /tɪv/ with the schwa /ɪ/ and the suffix /v/.",mistralai/Mistral-7B-Instruct-v0.2
adhere,ədhˈɪɹ,"[INST] You are a leading expert in General American English (GAE) phonology. Your specialty is converting written words (graphemes) into their precise GAE pronunciation (phonemes). 

Let's analyze the word 'apparently' using standard GAE pronunciation. Show me its exact phonemic transcription, paying special attention to American rhotic sounds and stress patterns. [/INST] The General American English pronunciation of 'apparently' is /əpˈɛɹəntli/. In GAE, we have the unstressed initial /əp/, followed by the stressed syllable /ˈɛɹ/ with the characteristic American rhotic /ɹ/, then the reduced /ənt/, and finally /li/. [INST] Now, provide the precise General American English phonemic transcription for 'adhere'. Your task is to transcribe this word following standard GAE pronunciation patterns. Focus on accurate representation of American vowels, rhotics (/ɹ/), and stress patterns. For the word 'adhere', give me ONLY its complete GAE phonemic transcription. [/INST] The General American English pronunciation of 'adhere' is /ədˈhɪər/. In GAE, we have the unstressed initial /əd/, followed by the stressed syllable /ˈhɪər/ with the schwa vowel /ə/. There is no rhotic sound in this word.",mistralai/Mistral-7B-Instruct-v0.2
admire,ædmˈaɪɹ,"[INST] You are a leading expert in General American English (GAE) phonology. Your specialty is converting written words (graphemes) into their precise GAE pronunciation (phonemes). 

Let's analyze the word 'apparently' using standard GAE pronunciation. Show me its exact phonemic transcription, paying special attention to American rhotic sounds and stress patterns. [/INST] The General American English pronunciation of 'apparently' is /əpˈɛɹəntli/. In GAE, we have the unstressed initial /əp/, followed by the stressed syllable /ˈɛɹ/ with the characteristic American rhotic /ɹ/, then the reduced /ənt/, and finally /li/. [INST] Now, provide the precise General American English phonemic transcription for 'admire'. Your task is to transcribe this word following standard GAE pronunciation patterns. Focus on accurate representation of American vowels, rhotics (/ɹ/), and stress patterns. For the word 'admire', give me ONLY its complete GAE phonemic transcription. [/INST] The General American English pronunciation of 'admire' is /ədˈmʌɪr/. In GAE, we have the unstressed initial /əd/, followed by the stressed syllable /ˈmʌɪ/, and the final /r/. The vowel in the second syllable is the short mid-open-front unrounded vowel /ɪ/ which is often pronounced as a schwa /ə/ in unstressed syllables, but in this case, it is pronounced as /ʌ/ due to the following /r/ sound.",mistralai/Mistral-7B-Instruct-v0.2
