grapheme,ground_truth_phoneme,predicted_phoneme,model_id
abb,ˈæb,/æb/,google/gemma-2-27b-it
abbot,ˈæbət,/ˈæbət/,google/gemma-2-27b-it
abdicated,ˈæbdəkˌeɪtəd,/ˈæbdɪkeɪtɪd/,google/gemma-2-27b-it
abednego,ˌæbɪdˈɛngˌoʊ,/æbˈɛdˌniɡoʊ/,google/gemma-2-27b-it
abelard,ˈæbɪlɚd,/ˈæbəlɑːrd/,google/gemma-2-27b-it
abetment,ˈeɪbəmtˌɛnt,/əˈbɛtmənt/,google/gemma-2-27b-it
abington,ˈæbɪŋtən,/ˈæbɪŋtən/,google/gemma-2-27b-it
ableism,ˈeɪbəlˌɪzəm,/ˈeɪblɪzəm/,google/gemma-2-27b-it
abood,əbˈuːd,/əˈbuːd/,google/gemma-2-27b-it
absently,ˈæbstəntli,/ˈæbsəntli/,google/gemma-2-27b-it
abusively,əbˈʌsəvli,/əˈbjuːsɪvli/,google/gemma-2-27b-it
accelerant,æksˈɛlɚənt,/əkˈsɛlərənt/,google/gemma-2-27b-it
accuser,əkjˈuːzɚ,/əˈkjuːzər/,google/gemma-2-27b-it
achievable,ətʃˈiːvəbəl,/əˈtʃiːvəbəl/,google/gemma-2-27b-it
acle,ˈækəl,/eɪkəl/,google/gemma-2-27b-it
acrylamide,ˈækɹəlˌaɪmd,/ˈækrɪləmaɪd/,google/gemma-2-27b-it
adaptability,ədˌæptəbˈɪləti,/əˌdæptəˈbɪləti/,google/gemma-2-27b-it
adjoin,ədʒˈɔɪn,/əˈdʒɔɪn/,google/gemma-2-27b-it
adjoined,ədʒˈɔɪnd,/əˈdʒɔɪnd/,google/gemma-2-27b-it
adjoining,ədʒˈɔɪnɪŋ,/əˈdʒɔɪnɪŋ/,google/gemma-2-27b-it
adjoins,ədʒˈɔɪnz,/əˈdʒɔɪnz/,google/gemma-2-27b-it
adjudicator,ədʒˈuːdəkˌeɪtɚ,/əˈdʒuːdɪkeɪtər/,google/gemma-2-27b-it
admiring,ædmˈaɪɹɪŋ,/ədˈmaɪrɪŋ/,google/gemma-2-27b-it
adoration,ˌædɚˈeɪʃən,/əˌdɔːˈreɪʃən/,google/gemma-2-27b-it
adr,ˈɑːdɚ,/ædr/,google/gemma-2-27b-it
adroit,ədɹˈɔɪt,/əˈdrɔɪt/,google/gemma-2-27b-it
adulation,ˌædʒəlˈeɪʃən,/ˌædjuˈleɪʃən/,google/gemma-2-27b-it
adversary,ˈædvɚsˌɛɹi,/ˈædvərsɛri/,google/gemma-2-27b-it
aerosol,ˈɛɹəsˌɑl,/ˈɛəɹoʊsɒl/,google/gemma-2-27b-it
affidavit,ˌæfədˈeɪvət,/ˌæfəˈdeɪvɪt/,google/gemma-2-27b-it
affliction,əflˈɪkʃən,/əˈflɪkʃən/,google/gemma-2-27b-it
aforesaid,əfˈɔːɹsˌɛd,/əˈfɔːrˈsɛd/,google/gemma-2-27b-it
aft,ˈæft,/æft/,google/gemma-2-27b-it
aftereffect,ˈæftɚəfˌɛkt,/ˈæftərɪfɛkt/,google/gemma-2-27b-it
afterthought,ˈæftɚθˌɑt,/ˈæftərθɔt/,google/gemma-2-27b-it
ahasuerus,əhˌæʃəwˈɛɹəs,/əˈhæzərəs/,google/gemma-2-27b-it
aileron,ˈeɪlɚˌɑn,/eɪləˈrɒn/,google/gemma-2-27b-it
ainu,ˈeɪnu,/aɪnu/,google/gemma-2-27b-it
akasa,əkˈɑːsə,/əˈkɑːsə/,google/gemma-2-27b-it
akhi,ˈɑːki,/ɑːˈkiː/,google/gemma-2-27b-it
alcaide,ˈælkˌeɪd,/ælˈkaɪd/,google/gemma-2-27b-it
alcool,ˈælkˌul,/əˈkɔl/,google/gemma-2-27b-it
alfalfa,ˌælfˈælfə,/ælˈfælfə/,google/gemma-2-27b-it
alibi,ˈæləbˌaɪ,/ˈæləbaɪ/,google/gemma-2-27b-it
alim,ˈælɪm,/əˈlɪm/,google/gemma-2-27b-it
alkin,ˈælkɪn,/ˈɔːlkɪn/,google/gemma-2-27b-it
alliyah,əlˈaɪə,/əˈliːə/,google/gemma-2-27b-it
allusion,əlˈuːʒən,/əˈluːʒən/,google/gemma-2-27b-it
alogliptin,ˌæləgˈɛtɪpən,/əˈlɒɡlɪptɪn/,google/gemma-2-27b-it
alphabets,ˈælfəbˌɛts,/ˈælfəbɛts/,google/gemma-2-27b-it
altaic,æltˈeɪɪk,/ælˈteɪɪk/,google/gemma-2-27b-it
