grapheme,ground_truth_phoneme,predicted_phoneme,model
absolute,ˈæbsəlˌut,/ˈæbsəlut/,claude-3-5-haiku-20241022
academic,ˌækədˈɛmɪk,/ˌækəˈdɛmɪk/,claude-3-5-haiku-20241022
acceptance,æksˈɛptəns,/əkˈsɛptəns/,claude-3-5-haiku-20241022
accommodation,əkˌɑmədˈeɪʃən,/əˌkɑməˈdeɪʃən/,claude-3-5-haiku-20241022
accordance,əkˈɔːɹdəns,/əˈkɔɹdəns/,claude-3-5-haiku-20241022
acronyms,ˈækɹənɪmz,/ˈækɹənɪmz/,claude-3-5-haiku-20241022
activist,ˈæktəvəst,/ˈæktɪvɪst/,claude-3-5-haiku-20241022
adaptive,ədˈæptɪv,/əˈdæptɪv/,claude-3-5-haiku-20241022
adhere,ədhˈɪɹ,/ædˈhɪɹ/,claude-3-5-haiku-20241022
admire,ædmˈaɪɹ,/ædˈmaɪɹ/,claude-3-5-haiku-20241022
admired,ədmˈaɪɚd,/ædˈmaɪɹd/,claude-3-5-haiku-20241022
advisory,ædvˈaɪzɚi,/ædˈvaɪzəɹi/,claude-3-5-haiku-20241022
afraid,əfɹˈeɪd,/əˈfɹeɪd/,claude-3-5-haiku-20241022
afro,ˈæfɹoʊ,/ˈæfɹoʊ/,claude-3-5-haiku-20241022
agnes,ˈægnɪs,/ˈæɡnɪs/,claude-3-5-haiku-20241022
agreement,əgɹˈiːmənt,/əˈgɹiːmənt/,claude-3-5-haiku-20241022
alert,əlˈɚt,/əˈlɝt/,claude-3-5-haiku-20241022
allergic,əlˈɚdʒɪk,/əˈlɝdʒɪk/,claude-3-5-haiku-20241022
alphabet,ˈælfəbˌɛt,/ˈælfəbɛt/,claude-3-5-haiku-20241022
alps,ˈælps,/ælps/,claude-3-5-haiku-20241022
ama,ˈɑːmə,/ˈɑmə/,claude-3-5-haiku-20241022
amp,ˈæmp,/æmp/,claude-3-5-haiku-20241022
amps,ˈæmps,/æmps/,claude-3-5-haiku-20241022
analytical,ˌænəlˈɪtɪkəl,/ˌænəˈlɪtɪkəl/,claude-3-5-haiku-20241022
anchorage,ˈæŋkɚədʒ,/ˈæŋkəɹɪdʒ/,claude-3-5-haiku-20241022
answer,ˈænsɚ,/ˈænsɚ/,claude-3-5-haiku-20241022
answers,ˈænsɚz,/ˈænsɚz/,claude-3-5-haiku-20241022
anthem,ˈænθəm,/ˈænθəm/,claude-3-5-haiku-20241022
anthropology,ˌænθɹəpˈɑːlədʒi,/ˌænθɹəˈpɑlədʒi/,claude-3-5-haiku-20241022
apologize,əpˈɑːlədʒˌaɪz,/əˈpɑlədʒaɪz/,claude-3-5-haiku-20241022
apparently,əpˈɛɹəntli,/əˈpɛɹəntli/,claude-3-5-haiku-20241022
approximately,əpɹˈɑːksəmətli,/əˈpɹɑksəmətli/,claude-3-5-haiku-20241022
aruba,ɚˈuːbə,/əˈɹubə/,claude-3-5-haiku-20241022
ascent,əsˈɛnt,/əˈsɛnt/,claude-3-5-haiku-20241022
ask,ˈæsk,/æsk/,claude-3-5-haiku-20241022
asks,ˈæsks,/æsks/,claude-3-5-haiku-20241022
aspire,əspˈaɪɹ,/æˈspaɪɹ/,claude-3-5-haiku-20241022
assembly,əsˈɛmbli,/əˈsɛmbli/,claude-3-5-haiku-20241022
attentive,ətˈɛntɪv,/əˈtɛntɪv/,claude-3-5-haiku-20241022
