grapheme,ground_truth_phoneme,predicted_phoneme,model_id
abb,ˈæb,"[INST] You are an expert in American English phonology, phonetics, and morphology. Your task is to transcribe a sequence of graphemes (the characters representing a word) into their corresponding phonemes (the sounds that make up the pronunciation). If you encounter a word you cannot transcribe, respond with - NONE.

Consider the process of converting graphemes to phonemes. For instance, how would you transcribe the word 'apparently'? Please provide the phonemic representation. [/INST] /əpˈɛɹəntli/ [INST] Let's try another example. How would you transcribe the word 'calorie'? Please provide only the phoneme transcription. [/INST] /kˈælɚi/ [INST] One more example for practice. Provide the phoneme transcription for the word 'freshman'. [/INST] /fɹˈɛʃmən/ [INST] Let's examine another word within the same framework. How would you transcribe the word 'breeze'? Please provide only the phonemic transcription. [/INST] /bɹˈiːz/ [INST] As a final example before moving forward, how would you transcribe the word 'invite'? Please deliver just the phoneme transcription. [/INST] /ɪnvaɪt/ [INST] Now, apply your understanding to this new word. How would you transcribe the grapheme 'abb' into its phonemes? Remember, provide only the phoneme transcription of the word as a whole. [/INST] The grapheme sequence 'abb' does not correspond to a single English word. It could be a part of various words, such as 'abba,' 'abbreviate,' 'abbot,' or 'abbreviation.' To provide a phoneme transcription, I would need the complete word. If you meant to ask about the phoneme representation of the letter 'b' or 'a' individually, please let me know.",mistralai/Mistral-7B-Instruct-v0.2
abbot,ˈæbət,"[INST] You are an expert in American English phonology, phonetics, and morphology. Your task is to transcribe a sequence of graphemes (the characters representing a word) into their corresponding phonemes (the sounds that make up the pronunciation). If you encounter a word you cannot transcribe, respond with - NONE.

Consider the process of converting graphemes to phonemes. For instance, how would you transcribe the word 'apparently'? Please provide the phonemic representation. [/INST] /əpˈɛɹəntli/ [INST] Let's try another example. How would you transcribe the word 'calorie'? Please provide only the phoneme transcription. [/INST] /kˈælɚi/ [INST] One more example for practice. Provide the phoneme transcription for the word 'freshman'. [/INST] /fɹˈɛʃmən/ [INST] Let's examine another word within the same framework. How would you transcribe the word 'breeze'? Please provide only the phonemic transcription. [/INST] /bɹˈiːz/ [INST] As a final example before moving forward, how would you transcribe the word 'invite'? Please deliver just the phoneme transcription. [/INST] /ɪnvaɪt/ [INST] Now, apply your understanding to this new word. How would you transcribe the grapheme 'abbot' into its phonemes? Remember, provide only the phoneme transcription of the word as a whole. [/INST] /ˈæbbət/",mistralai/Mistral-7B-Instruct-v0.2
abdicated,ˈæbdəkˌeɪtəd,"[INST] You are an expert in American English phonology, phonetics, and morphology. Your task is to transcribe a sequence of graphemes (the characters representing a word) into their corresponding phonemes (the sounds that make up the pronunciation). If you encounter a word you cannot transcribe, respond with - NONE.

Consider the process of converting graphemes to phonemes. For instance, how would you transcribe the word 'apparently'? Please provide the phonemic representation. [/INST] /əpˈɛɹəntli/ [INST] Let's try another example. How would you transcribe the word 'calorie'? Please provide only the phoneme transcription. [/INST] /kˈælɚi/ [INST] One more example for practice. Provide the phoneme transcription for the word 'freshman'. [/INST] /fɹˈɛʃmən/ [INST] Let's examine another word within the same framework. How would you transcribe the word 'breeze'? Please provide only the phonemic transcription. [/INST] /bɹˈiːz/ [INST] As a final example before moving forward, how would you transcribe the word 'invite'? Please deliver just the phoneme transcription. [/INST] /ɪnvaɪt/ [INST] Now, apply your understanding to this new word. How would you transcribe the grapheme 'abdicated' into its phonemes? Remember, provide only the phoneme transcription of the word as a whole. [/INST] /əbˈdɪkət/ or /əbˈdɪkətɪd/ (depending on the stress)

The first transcription assumes the word is an intransitive verb, while the second assumes it is the past tense of the transitive verb. The stress pattern may vary depending on the context in which the word is used.",mistralai/Mistral-7B-Instruct-v0.2
abednego,ˌæbɪdˈɛngˌoʊ,"[INST] You are an expert in American English phonology, phonetics, and morphology. Your task is to transcribe a sequence of graphemes (the characters representing a word) into their corresponding phonemes (the sounds that make up the pronunciation). If you encounter a word you cannot transcribe, respond with - NONE.

Consider the process of converting graphemes to phonemes. For instance, how would you transcribe the word 'apparently'? Please provide the phonemic representation. [/INST] /əpˈɛɹəntli/ [INST] Let's try another example. How would you transcribe the word 'calorie'? Please provide only the phoneme transcription. [/INST] /kˈælɚi/ [INST] One more example for practice. Provide the phoneme transcription for the word 'freshman'. [/INST] /fɹˈɛʃmən/ [INST] Let's examine another word within the same framework. How would you transcribe the word 'breeze'? Please provide only the phonemic transcription. [/INST] /bɹˈiːz/ [INST] As a final example before moving forward, how would you transcribe the word 'invite'? Please deliver just the phoneme transcription. [/INST] /ɪnvaɪt/ [INST] Now, apply your understanding to this new word. How would you transcribe the grapheme 'abednego' into its phonemes? Remember, provide only the phoneme transcription of the word as a whole. [/INST] /əˈbeɪdniɡo/

Note: The ""g"" in this word is pronounced as a ""hard g"" as in ""go,"" not as a ""soft g"" as in ""gentle.""",mistralai/Mistral-7B-Instruct-v0.2
abelard,ˈæbɪlɚd,"[INST] You are an expert in American English phonology, phonetics, and morphology. Your task is to transcribe a sequence of graphemes (the characters representing a word) into their corresponding phonemes (the sounds that make up the pronunciation). If you encounter a word you cannot transcribe, respond with - NONE.

Consider the process of converting graphemes to phonemes. For instance, how would you transcribe the word 'apparently'? Please provide the phonemic representation. [/INST] /əpˈɛɹəntli/ [INST] Let's try another example. How would you transcribe the word 'calorie'? Please provide only the phoneme transcription. [/INST] /kˈælɚi/ [INST] One more example for practice. Provide the phoneme transcription for the word 'freshman'. [/INST] /fɹˈɛʃmən/ [INST] Let's examine another word within the same framework. How would you transcribe the word 'breeze'? Please provide only the phonemic transcription. [/INST] /bɹˈiːz/ [INST] As a final example before moving forward, how would you transcribe the word 'invite'? Please deliver just the phoneme transcription. [/INST] /ɪnvaɪt/ [INST] Now, apply your understanding to this new word. How would you transcribe the grapheme 'abelard' into its phonemes? Remember, provide only the phoneme transcription of the word as a whole. [/INST] /əˈbɛlɑrd/

Note: The 'a' in 'abelard' can be pronounced as the schwa sound (/ə/) or the open front unrounded vowel sound (/æ/), depending on the speaker's accent.",mistralai/Mistral-7B-Instruct-v0.2
abetment,ˈeɪbəmtˌɛnt,"[INST] You are an expert in American English phonology, phonetics, and morphology. Your task is to transcribe a sequence of graphemes (the characters representing a word) into their corresponding phonemes (the sounds that make up the pronunciation). If you encounter a word you cannot transcribe, respond with - NONE.

Consider the process of converting graphemes to phonemes. For instance, how would you transcribe the word 'apparently'? Please provide the phonemic representation. [/INST] /əpˈɛɹəntli/ [INST] Let's try another example. How would you transcribe the word 'calorie'? Please provide only the phoneme transcription. [/INST] /kˈælɚi/ [INST] One more example for practice. Provide the phoneme transcription for the word 'freshman'. [/INST] /fɹˈɛʃmən/ [INST] Let's examine another word within the same framework. How would you transcribe the word 'breeze'? Please provide only the phonemic transcription. [/INST] /bɹˈiːz/ [INST] As a final example before moving forward, how would you transcribe the word 'invite'? Please deliver just the phoneme transcription. [/INST] /ɪnvaɪt/ [INST] Now, apply your understanding to this new word. How would you transcribe the grapheme 'abetment' into its phonemes? Remember, provide only the phoneme transcription of the word as a whole. [/INST] /əˈbɛtmənt/",mistralai/Mistral-7B-Instruct-v0.2
abington,ˈæbɪŋtən,"[INST] You are an expert in American English phonology, phonetics, and morphology. Your task is to transcribe a sequence of graphemes (the characters representing a word) into their corresponding phonemes (the sounds that make up the pronunciation). If you encounter a word you cannot transcribe, respond with - NONE.

Consider the process of converting graphemes to phonemes. For instance, how would you transcribe the word 'apparently'? Please provide the phonemic representation. [/INST] /əpˈɛɹəntli/ [INST] Let's try another example. How would you transcribe the word 'calorie'? Please provide only the phoneme transcription. [/INST] /kˈælɚi/ [INST] One more example for practice. Provide the phoneme transcription for the word 'freshman'. [/INST] /fɹˈɛʃmən/ [INST] Let's examine another word within the same framework. How would you transcribe the word 'breeze'? Please provide only the phonemic transcription. [/INST] /bɹˈiːz/ [INST] As a final example before moving forward, how would you transcribe the word 'invite'? Please deliver just the phoneme transcription. [/INST] /ɪnvaɪt/ [INST] Now, apply your understanding to this new word. How would you transcribe the grapheme 'abington' into its phonemes? Remember, provide only the phoneme transcription of the word as a whole. [/INST] /əˈbɪŋtən/",mistralai/Mistral-7B-Instruct-v0.2
ableism,ˈeɪbəlˌɪzəm,"[INST] You are an expert in American English phonology, phonetics, and morphology. Your task is to transcribe a sequence of graphemes (the characters representing a word) into their corresponding phonemes (the sounds that make up the pronunciation). If you encounter a word you cannot transcribe, respond with - NONE.

Consider the process of converting graphemes to phonemes. For instance, how would you transcribe the word 'apparently'? Please provide the phonemic representation. [/INST] /əpˈɛɹəntli/ [INST] Let's try another example. How would you transcribe the word 'calorie'? Please provide only the phoneme transcription. [/INST] /kˈælɚi/ [INST] One more example for practice. Provide the phoneme transcription for the word 'freshman'. [/INST] /fɹˈɛʃmən/ [INST] Let's examine another word within the same framework. How would you transcribe the word 'breeze'? Please provide only the phonemic transcription. [/INST] /bɹˈiːz/ [INST] As a final example before moving forward, how would you transcribe the word 'invite'? Please deliver just the phoneme transcription. [/INST] /ɪnvaɪt/ [INST] Now, apply your understanding to this new word. How would you transcribe the grapheme 'ableism' into its phonemes? Remember, provide only the phoneme transcription of the word as a whole. [/INST] /ˈæbəlɪzəm/",mistralai/Mistral-7B-Instruct-v0.2
abood,əbˈuːd,"[INST] You are an expert in American English phonology, phonetics, and morphology. Your task is to transcribe a sequence of graphemes (the characters representing a word) into their corresponding phonemes (the sounds that make up the pronunciation). If you encounter a word you cannot transcribe, respond with - NONE.

Consider the process of converting graphemes to phonemes. For instance, how would you transcribe the word 'apparently'? Please provide the phonemic representation. [/INST] /əpˈɛɹəntli/ [INST] Let's try another example. How would you transcribe the word 'calorie'? Please provide only the phoneme transcription. [/INST] /kˈælɚi/ [INST] One more example for practice. Provide the phoneme transcription for the word 'freshman'. [/INST] /fɹˈɛʃmən/ [INST] Let's examine another word within the same framework. How would you transcribe the word 'breeze'? Please provide only the phonemic transcription. [/INST] /bɹˈiːz/ [INST] As a final example before moving forward, how would you transcribe the word 'invite'? Please deliver just the phoneme transcription. [/INST] /ɪnvaɪt/ [INST] Now, apply your understanding to this new word. How would you transcribe the grapheme 'abood' into its phonemes? Remember, provide only the phoneme transcription of the word as a whole. [/INST] - NONE. I cannot transcribe the word ""abood"" as it is not a standard English word.",mistralai/Mistral-7B-Instruct-v0.2
absently,ˈæbstəntli,"[INST] You are an expert in American English phonology, phonetics, and morphology. Your task is to transcribe a sequence of graphemes (the characters representing a word) into their corresponding phonemes (the sounds that make up the pronunciation). If you encounter a word you cannot transcribe, respond with - NONE.

Consider the process of converting graphemes to phonemes. For instance, how would you transcribe the word 'apparently'? Please provide the phonemic representation. [/INST] /əpˈɛɹəntli/ [INST] Let's try another example. How would you transcribe the word 'calorie'? Please provide only the phoneme transcription. [/INST] /kˈælɚi/ [INST] One more example for practice. Provide the phoneme transcription for the word 'freshman'. [/INST] /fɹˈɛʃmən/ [INST] Let's examine another word within the same framework. How would you transcribe the word 'breeze'? Please provide only the phonemic transcription. [/INST] /bɹˈiːz/ [INST] As a final example before moving forward, how would you transcribe the word 'invite'? Please deliver just the phoneme transcription. [/INST] /ɪnvaɪt/ [INST] Now, apply your understanding to this new word. How would you transcribe the grapheme 'absently' into its phonemes? Remember, provide only the phoneme transcription of the word as a whole. [/INST] /əbˈsɛntli/",mistralai/Mistral-7B-Instruct-v0.2
