grapheme,ground_truth_phoneme,predicted_phoneme,model
abb,ˈæb,/æb/,claude-3-5-haiku-20241022
abbot,ˈæbət,/ˈæbət/,claude-3-5-haiku-20241022
abdicated,ˈæbdəkˌeɪtəd,/ˈæbdəkeɪtəd/,claude-3-5-haiku-20241022
abednego,ˌæbɪdˈɛngˌoʊ,"- NONE

(This is because ""Abednego"" is a proper name from biblical sources, and while I recognize the graphemes, I cannot confidently provide a standard phonemic transcription without additional context or specific pronunciation guidance.)",claude-3-5-haiku-20241022
abelard,ˈæbɪlɚd,/ˈæbəlɑɹd/,claude-3-5-haiku-20241022
abetment,ˈeɪbəmtˌɛnt,/əbˈɛtmənt/,claude-3-5-haiku-20241022
abington,ˈæbɪŋtən,/ˈæbɪŋtən/,claude-3-5-haiku-20241022
ableism,ˈeɪbəlˌɪzəm,/ˈeɪbəlɪzəm/,claude-3-5-haiku-20241022
abood,əbˈuːd,"- NONE

(This response indicates that I cannot confidently transcribe the word 'abood' into phonemes, likely because it appears to be a proper name, a non-standard word, or a word from a language other than English for which I do not have a standard phonemic representation.)",claude-3-5-haiku-20241022
absently,ˈæbstəntli,/ˈæbsəntli/,claude-3-5-haiku-20241022
abusively,əbˈʌsəvli,/əbˈjusɪvli/,claude-3-5-haiku-20241022
accelerant,æksˈɛlɚənt,/əkˈsɛləɹənt/,claude-3-5-haiku-20241022
accuser,əkjˈuːzɚ,/əkˈjuzɚ/,claude-3-5-haiku-20241022
achievable,ətʃˈiːvəbəl,/ətʃˈivəbəl/,claude-3-5-haiku-20241022
acle,ˈækəl,"- NONE

(This response indicates that I cannot confidently transcribe the grapheme sequence 'acle' into a standard phonemic representation without additional context or a complete word.)",claude-3-5-haiku-20241022
acrylamide,ˈækɹəlˌaɪmd,/əkɹˈɪləmaɪd/,claude-3-5-haiku-20241022
adaptability,ədˌæptəbˈɪləti,/ədˌæptəbˈɪləti/,claude-3-5-haiku-20241022
adjoin,ədʒˈɔɪn,/ədˈdʒɔɪn/,claude-3-5-haiku-20241022
adjoined,ədʒˈɔɪnd,/əˈdʒɔɪnd/,claude-3-5-haiku-20241022
adjoining,ədʒˈɔɪnɪŋ,/əˈdʒɔɪnɪŋ/,claude-3-5-haiku-20241022
adjoins,ədʒˈɔɪnz,/əˈdʒɔɪnz/,claude-3-5-haiku-20241022
adjudicator,ədʒˈuːdəkˌeɪtɚ,/ædʒudɪkˈeɪtɚ/,claude-3-5-haiku-20241022
admiring,ædmˈaɪɹɪŋ,/ædmˈaɪɹɪŋ/,claude-3-5-haiku-20241022
adoration,ˌædɚˈeɪʃən,/ædɚˈeɪʃən/,claude-3-5-haiku-20241022
adr,ˈɑːdɚ,"- NONE

(This response indicates that without a complete word context, I cannot confidently transcribe the grapheme sequence 'adr' into phonemes. Phonemic transcription requires a full word to determine accurate pronunciation.)",claude-3-5-haiku-20241022
adroit,ədɹˈɔɪt,/əˈdɹɔɪt/,claude-3-5-haiku-20241022
adulation,ˌædʒəlˈeɪʃən,/ædʒəlˈeɪʃən/,claude-3-5-haiku-20241022
adversary,ˈædvɚsˌɛɹi,/ˈædvɚsɛɹi/,claude-3-5-haiku-20241022
aerosol,ˈɛɹəsˌɑl,/ˈɛɹoʊsɔl/,claude-3-5-haiku-20241022
affidavit,ˌæfədˈeɪvət,/æfɪdˈeɪvɪt/,claude-3-5-haiku-20241022
affliction,əflˈɪkʃən,/əflˈɪkʃən/,claude-3-5-haiku-20241022
aforesaid,əfˈɔːɹsˌɛd,/əfˈɔɹsɛd/,claude-3-5-haiku-20241022
aft,ˈæft,/æft/,claude-3-5-haiku-20241022
aftereffect,ˈæftɚəfˌɛkt,/ˌæftɚɪfˈɛkt/,claude-3-5-haiku-20241022
afterthought,ˈæftɚθˌɑt,/ˈæftɚθɔt/,claude-3-5-haiku-20241022
ahasuerus,əhˌæʃəwˈɛɹəs,"- NONE

(This word is a proper name with origins in Hebrew, and its pronunciation is not standard in American English phonology. Without a clear, established pronunciation, I cannot confidently provide a phonemic transcription.)",claude-3-5-haiku-20241022
aileron,ˈeɪlɚˌɑn,/ˈeɪlɚɹɑn/,claude-3-5-haiku-20241022
ainu,ˈeɪnu,"- NONE

(This is because ""ainu"" is not a standard English word, and appears to be a term from another language, likely Japanese. Since it's not an English word, I cannot provide a standard American English phonemic transcription.)",claude-3-5-haiku-20241022
akasa,əkˈɑːsə,- NONE,claude-3-5-haiku-20241022
akhi,ˈɑːki,- NONE,claude-3-5-haiku-20241022
alcaide,ˈælkˌeɪd,"- NONE

(This word is not a standard English word, and while it appears to have Spanish origins, I cannot confidently provide a standard American English phonemic transcription.)",claude-3-5-haiku-20241022
alcool,ˈælkˌul,"- NONE

(Note: ""alcool"" is not a standard English word. If you meant ""alcohol"", the phonemic transcription would be /ˈælkəhɔl/.)",claude-3-5-haiku-20241022
alfalfa,ˌælfˈælfə,/ælfˈælfə/,claude-3-5-haiku-20241022
alibi,ˈæləbˌaɪ,/ˈælɪbaɪ/,claude-3-5-haiku-20241022
alim,ˈælɪm,"- NONE

(This response indicates that I cannot confidently transcribe the word 'alim' into its phonemic representation, likely because it appears to be a word from another language or context that does not follow standard American English phonological rules.)",claude-3-5-haiku-20241022
alkin,ˈælkɪn,"- NONE

(This response indicates that I cannot confidently transcribe the grapheme 'alkin' into its corresponding phonemes, as it does not appear to be a standard English word.)",claude-3-5-haiku-20241022
alliyah,əlˈaɪə,"- NONE

(This is because ""alliyah"" is not a standard English word, and without additional context or specification of its origin or intended pronunciation, I cannot confidently provide a phonemic transcription.)",claude-3-5-haiku-20241022
allusion,əlˈuːʒən,/əlˈuʒən/,claude-3-5-haiku-20241022
alogliptin,ˌæləgˈɛtɪpən,"- NONE

(This is a specialized medical/pharmaceutical term that does not have a standard phonemic transcription in American English, and I cannot confidently generate its precise phonemic representation.)",claude-3-5-haiku-20241022
alphabets,ˈælfəbˌɛts,/ˈælfəbɛts/,claude-3-5-haiku-20241022
altaic,æltˈeɪɪk,/æltˈeɪɪk/,claude-3-5-haiku-20241022
alternately,ˈɔːltɚnətli,/ˈɔltɚnətli/,claude-3-5-haiku-20241022
amharic,ˈæmhɚɪk,"- NONE

(This is because ""Amharic"" is a language name from Ethiopia with a pronunciation that does not follow standard English phonological rules, and I cannot confidently provide a standard American English phonemic transcription.)",claude-3-5-haiku-20241022
amigos,əmˈiːgˌoʊz,/əmˈiːɡoʊz/,claude-3-5-haiku-20241022
amigurumi,ˌæmgɪɹˈuːmi,/æmɪɡəɹˈuːmi/,claude-3-5-haiku-20241022
ammonia,əmˈoʊnjə,/əmˈoʊniə/,claude-3-5-haiku-20241022
amped,ˈæmpt,/ˈæmpt/,claude-3-5-haiku-20241022
amphibian,æmfˈɪbiən,/æmfˈɪbiən/,claude-3-5-haiku-20241022
amping,ˈæmpɪŋ,/ˈæmpɪŋ/,claude-3-5-haiku-20241022
amulets,ˈæmjələts,/ˈæmjəlɪts/,claude-3-5-haiku-20241022
amusingly,əmjˈuːzɪŋli,/əmjˈuzɪŋli/,claude-3-5-haiku-20241022
anabolic,ˌænəbˈɑːlɪk,/ˌænəbˈɑlɪk/,claude-3-5-haiku-20241022
androgyny,ændɹˈɔːdʒəni,/ænˈdɹɑdʒəni/,claude-3-5-haiku-20241022
anew,ənˈuː,/əˈnjuː/,claude-3-5-haiku-20241022
angioplasty,ˈændʒiəplˌæsti,/ˈændʒioʊplæsti/,claude-3-5-haiku-20241022
animosity,ˌænəmˈɑːsəti,/ˌænəmˈɑsəti/,claude-3-5-haiku-20241022
anion,ˈeɪniən,/ˈænˌaɪɑn/,claude-3-5-haiku-20241022
ankylosaurus,ˌæŋkələsˈɔːɹəs,/æŋkɪloʊˈsɔɹəs/,claude-3-5-haiku-20241022
annal,ˈænəl,/ˈænəl/,claude-3-5-haiku-20241022
