grapheme,ground_truth_phoneme,predicted_phoneme,model
abb,ˈæb,/æb/,claude-3-5-haiku-20241022
abbot,ˈæbət,/ˈæbət/,claude-3-5-haiku-20241022
abdicated,ˈæbdəkˌeɪtəd,/ˈæbdɪkeɪtɪd/,claude-3-5-haiku-20241022
abednego,ˌæbɪdˈɛngˌoʊ,/əˌbɛdnəˈgoʊ/,claude-3-5-haiku-20241022
abelard,ˈæbɪlɚd,/ˈæbəlɑɹd/,claude-3-5-haiku-20241022
abetment,ˈeɪbəmtˌɛnt,/əˈbɛtmənt/,claude-3-5-haiku-20241022
abington,ˈæbɪŋtən,/ˈæbɪŋtən/,claude-3-5-haiku-20241022
ableism,ˈeɪbəlˌɪzəm,/ˈeɪbəlɪzəm/,claude-3-5-haiku-20241022
abood,əbˈuːd,/əˈbud/,claude-3-5-haiku-20241022
absently,ˈæbstəntli,/ˈæbsəntli/,claude-3-5-haiku-20241022
abusively,əbˈʌsəvli,/əˈbjuːsɪvli/,claude-3-5-haiku-20241022
accelerant,æksˈɛlɚənt,/əkˈsɛləɹənt/,claude-3-5-haiku-20241022
accuser,əkjˈuːzɚ,/əkˈkjuzɚ/,claude-3-5-haiku-20241022
achievable,ətʃˈiːvəbəl,/əˈtʃiːvəbəl/,claude-3-5-haiku-20241022
acle,ˈækəl,/ˈeɪkəl/,claude-3-5-haiku-20241022
acrylamide,ˈækɹəlˌaɪmd,/əˈkɹɪləmaɪd/,claude-3-5-haiku-20241022
adaptability,ədˌæptəbˈɪləti,/əˌdæptəˈbɪləti/,claude-3-5-haiku-20241022
adjoin,ədʒˈɔɪn,/ædˈdʒɔɪn/,claude-3-5-haiku-20241022
adjoined,ədʒˈɔɪnd,/əˈdʒɔɪnd/,claude-3-5-haiku-20241022
adjoining,ədʒˈɔɪnɪŋ,/əˈdʒɔɪnɪŋ/,claude-3-5-haiku-20241022
adjoins,ədʒˈɔɪnz,/əˈdʒɔɪnz/,claude-3-5-haiku-20241022
adjudicator,ədʒˈuːdəkˌeɪtɚ,/ædʒuˈdɪkeɪtɚ/,claude-3-5-haiku-20241022
admiring,ædmˈaɪɹɪŋ,/ædˈmaɪɹɪŋ/,claude-3-5-haiku-20241022
adoration,ˌædɚˈeɪʃən,/ˌædəˈɹeɪʃən/,claude-3-5-haiku-20241022
adr,ˈɑːdɚ,/ˈeɪ.di.ˈɑɹ/,claude-3-5-haiku-20241022
adroit,ədɹˈɔɪt,/əˈdɹɔɪt/,claude-3-5-haiku-20241022
adulation,ˌædʒəlˈeɪʃən,/ˌædʒəˈleɪʃən/,claude-3-5-haiku-20241022
adversary,ˈædvɚsˌɛɹi,/ˈædvɚsɛɹi/,claude-3-5-haiku-20241022
aerosol,ˈɛɹəsˌɑl,/ˈɛɹəsɔl/,claude-3-5-haiku-20241022
affidavit,ˌæfədˈeɪvət,/ˌæfɪˈdeɪvɪt/,claude-3-5-haiku-20241022
affliction,əflˈɪkʃən,/əˈflɪkʃən/,claude-3-5-haiku-20241022
aforesaid,əfˈɔːɹsˌɛd,/əˈfɔɹsɛd/,claude-3-5-haiku-20241022
aft,ˈæft,/æft/,claude-3-5-haiku-20241022
aftereffect,ˈæftɚəfˌɛkt,/ˌæftɚˈɛfɛkt/,claude-3-5-haiku-20241022
afterthought,ˈæftɚθˌɑt,/ˈæftɚθɔt/,claude-3-5-haiku-20241022
ahasuerus,əhˌæʃəwˈɛɹəs,/əhæzuˈɪɹəs/,claude-3-5-haiku-20241022
aileron,ˈeɪlɚˌɑn,/ˈeɪləɹɑn/,claude-3-5-haiku-20241022
ainu,ˈeɪnu,/ˈaɪnuː/,claude-3-5-haiku-20241022
akasa,əkˈɑːsə,/əˈkɑsə/,claude-3-5-haiku-20241022
akhi,ˈɑːki,/ˈæki/,claude-3-5-haiku-20241022
alcaide,ˈælkˌeɪd,/ælˈkeɪd/,claude-3-5-haiku-20241022
alcool,ˈælkˌul,/ˈælkuːl/,claude-3-5-haiku-20241022
alfalfa,ˌælfˈælfə,/ælfˈælfə/,claude-3-5-haiku-20241022
alibi,ˈæləbˌaɪ,/ˈælɪbaɪ/,claude-3-5-haiku-20241022
alim,ˈælɪm,/ˈælɪm/,claude-3-5-haiku-20241022
alkin,ˈælkɪn,/ˈɔːkɪn/,claude-3-5-haiku-20241022
alliyah,əlˈaɪə,/əˈliːə/,claude-3-5-haiku-20241022
allusion,əlˈuːʒən,/əˈluʒən/,claude-3-5-haiku-20241022
alogliptin,ˌæləgˈɛtɪpən,/æləˈglɪptɪn/,claude-3-5-haiku-20241022
alphabets,ˈælfəbˌɛts,/ˈælfəbɛts/,claude-3-5-haiku-20241022
altaic,æltˈeɪɪk,/ˌæltˈeɪɪk/,claude-3-5-haiku-20241022
alternately,ˈɔːltɚnətli,/ˈɔltɚnətli/,claude-3-5-haiku-20241022
amharic,ˈæmhɚɪk,/æmˈhɛɹɪk/,claude-3-5-haiku-20241022
amigos,əmˈiːgˌoʊz,/əˈmiːɡoʊz/,claude-3-5-haiku-20241022
amigurumi,ˌæmgɪɹˈuːmi,/æmɪɡəˈɹuːmi/,claude-3-5-haiku-20241022
ammonia,əmˈoʊnjə,/əˈmoʊniə/,claude-3-5-haiku-20241022
amped,ˈæmpt,/ˈæmpt/,claude-3-5-haiku-20241022
amphibian,æmfˈɪbiən,/æmˈfɪbiən/,claude-3-5-haiku-20241022
amping,ˈæmpɪŋ,/ˈæmpɪŋ/,claude-3-5-haiku-20241022
amulets,ˈæmjələts,/ˈæmjəlɪts/,claude-3-5-haiku-20241022
amusingly,əmjˈuːzɪŋli,/əˈmjuzɪŋli/,claude-3-5-haiku-20241022
anabolic,ˌænəbˈɑːlɪk,/ˌænəˈbɑlɪk/,claude-3-5-haiku-20241022
androgyny,ændɹˈɔːdʒəni,/ænˈdɹɑdʒəni/,claude-3-5-haiku-20241022
anew,ənˈuː,/əˈnuː/,claude-3-5-haiku-20241022
angioplasty,ˈændʒiəplˌæsti,/ˈændʒioʊˌplæsti/,claude-3-5-haiku-20241022
animosity,ˌænəmˈɑːsəti,/ˌænəˈmɑsəti/,claude-3-5-haiku-20241022
anion,ˈeɪniən,/ˈæniˌɑn/,claude-3-5-haiku-20241022
ankylosaurus,ˌæŋkələsˈɔːɹəs,/æŋkɪloʊˈsɔɹəs/,claude-3-5-haiku-20241022
annal,ˈænəl,/ˈænəl/,claude-3-5-haiku-20241022
annoyance,ənˈɔɪəns,/əˈnɔɪəns/,claude-3-5-haiku-20241022
anoint,ənˈɔɪnt,/əˈnɔɪnt/,claude-3-5-haiku-20241022
anointed,ənˈɔɪntəd,/əˈnɔɪntɪd/,claude-3-5-haiku-20241022
anonymity,ˌænənˈɪmɪti,/ˌænəˈnɪməti/,claude-3-5-haiku-20241022
anteroom,æntɚˈʊm,/ˈæntəɹuːm/,claude-3-5-haiku-20241022
anthems,ˈænθəmz,/ˈænθəmz/,claude-3-5-haiku-20241022
anthropocentrism,ˌænθɹəpətɹˈɪsənz,/ˌænθɹəpoʊˈsɛntɹɪzəm/,claude-3-5-haiku-20241022
anthroposophy,ˌænθɹəpˈɑːzəpi,/ˌænθɹəˈpɑsəfi/,claude-3-5-haiku-20241022
antioch,ˈæntiˌɑk,/ˈæntɪˌɑk/,claude-3-5-haiku-20241022
antiope,ˈæntiˌoʊp,/ænˈtaɪəpi/,claude-3-5-haiku-20241022
antiphon,ˈæntəfˌɑn,/ˈæntɪfɑn/,claude-3-5-haiku-20241022
antipodal,æntˈɪpədəl,/ænˈtɪpədəl/,claude-3-5-haiku-20241022
antipollution,ˌæntəpəlˈeɪʃəp,/ˌæntɪpəˈluʃən/,claude-3-5-haiku-20241022
antiquities,æntˈɪkwətiz,/æntɪˈkwɪtiz/,claude-3-5-haiku-20241022
antler,ˈæntlɚ,/ˈæntləɹ/,claude-3-5-haiku-20241022
