grapheme,ground_truth_phoneme,predicted_phoneme,model
abb,ˈæb,/æb/,gpt-4o
abbot,ˈæbət,/ˈæbət/,gpt-4o
abdicated,ˈæbdəkˌeɪtəd,/ˈæbdɪˌkeɪtɪd/,gpt-4o
abednego,ˌæbɪdˈɛngˌoʊ,The General American English phonemic transcription for 'Abednego' is /əˈbɛdnɪˌɡoʊ/.,gpt-4o
abelard,ˈæbɪlɚd,The General American English phonemic transcription for 'abelard' is /ˈæbəˌlɑɹd/.,gpt-4o
abetment,ˈeɪbəmtˌɛnt,/əˈbɛtmənt/,gpt-4o
abington,ˈæbɪŋtən,The General American English phonemic transcription for 'Abington' is /ˈæbɪŋtən/.,gpt-4o
ableism,ˈeɪbəlˌɪzəm,/ˈeɪbəlˌɪzəm/,gpt-4o
abood,əbˈuːd,/əˈbud/,gpt-4o
absently,ˈæbstəntli,/ˈæbsəntli/,gpt-4o
abusively,əbˈʌsəvli,/əˈbjusɪvli/,gpt-4o
accelerant,æksˈɛlɚənt,/əkˈsɛləɹənt/,gpt-4o
accuser,əkjˈuːzɚ,/əˈkjuːzɚ/,gpt-4o
achievable,ətʃˈiːvəbəl,/əˈtʃivəbl̩/,gpt-4o
acle,ˈækəl,"The sequence 'acle' does not form a standalone word in English, so it doesn't have a standard pronunciation in General American English. However, if you are referring to the common suffix as in words like 'miracle' or 'spectacle', the transcription would depend on the specific word. Could you please provide more context or specify the word you have in mind?",gpt-4o
acrylamide,ˈækɹəlˌaɪmd,/əˈkɹɪləˌmaɪd/,gpt-4o
adaptability,ədˌæptəbˈɪləti,/əˌdæptəˈbɪləti/,gpt-4o
adjoin,ədʒˈɔɪn,/əˈdʒɔɪn/,gpt-4o
adjoined,ədʒˈɔɪnd,/əˈdʒɔɪnd/,gpt-4o
adjoining,ədʒˈɔɪnɪŋ,/əˈdʒɔɪnɪŋ/,gpt-4o
adjoins,ədʒˈɔɪnz,/əˈdʒɔɪnz/,gpt-4o
adjudicator,ədʒˈuːdəkˌeɪtɚ,/əˈdʒudɪˌkeɪtɚ/,gpt-4o
admiring,ædmˈaɪɹɪŋ,/ədˈmaɪɹɪŋ/,gpt-4o
adoration,ˌædɚˈeɪʃən,/ˌædəˈɹeɪʃən/,gpt-4o
adr,ˈɑːdɚ,"It seems there might be a misunderstanding, as ""adr"" does not correspond to a standard English word or acronym with a widely recognized pronunciation. If you meant a specific term or abbreviation, could you please provide more context or clarify?",gpt-4o
adroit,ədɹˈɔɪt,/əˈdɹɔɪt/,gpt-4o
adulation,ˌædʒəlˈeɪʃən,/ˌædʒəˈleɪʃən/,gpt-4o
adversary,ˈædvɚsˌɛɹi,/ˈædvɚˌsɛɹi/,gpt-4o
aerosol,ˈɛɹəsˌɑl,/ˈɛɹəsɔl/,gpt-4o
affidavit,ˌæfədˈeɪvət,/ˌæfəˈdeɪvɪt/,gpt-4o
affliction,əflˈɪkʃən,/əˈflɪkʃən/,gpt-4o
aforesaid,əfˈɔːɹsˌɛd,/əˈfɔɹˌsɛd/,gpt-4o
aft,ˈæft,The General American English phonemic transcription for 'aft' is /æft/.,gpt-4o
aftereffect,ˈæftɚəfˌɛkt,/ˈæftɚɪˌfɛkt/,gpt-4o
afterthought,ˈæftɚθˌɑt,/ˈæftɚˌθɔt/,gpt-4o
ahasuerus,əhˌæʃəwˈɛɹəs,The General American English phonemic transcription for 'Ahasuerus' is /əˌhæzjuˈɛɹəs/.,gpt-4o
aileron,ˈeɪlɚˌɑn,/ˈeɪləˌɹɑn/,gpt-4o
ainu,ˈeɪnu,The General American English phonemic transcription for 'ainu' is /ˈaɪnuː/.,gpt-4o
akasa,əkˈɑːsə,/əˈkɑsə/,gpt-4o
