sentence,ground_truth_syllable_count,predicted_syllable_count,model_id
"However, she's changed and solid in her beliefs.",12,"However (2), she's (1), changed (1), and (1), solid (2), in (1), her (1), beliefs (2)

Total: 11",gpt-3.5-turbo
This story is about a young girl's redemption in a small town.,16,"1. This (1)
2. story (2)
3. is (1)
4. about (2)
5. a (1)
6. young (1)
7. girl's (1)
8. redemption (3)
9. in (1)
10. a (1)
11. small (1)
12. town (1)

Total: 16",gpt-3.5-turbo
 Grace has resigned herself to simply completing the upbringing of her teenage daughter.,22,"Grace (1), has (1), resigned (2), herself (2), to (1), simply (2), completing (3), the (1), upbringing (3), of (1), her (1), teenage (2), daughter (2)

Total: 21",gpt-3.5-turbo
Donald Braxton becomes the pastor of Grace's church and there is an immediate attraction.,24,18,gpt-3.5-turbo
Will Grace be able to accept what God has laid before her.,15,"Will (1), Grace (1), be (1), able (2), to (1), accept (2), what (1), God (1), has (1), laid (1), before (2), her (1).

Total: 14",gpt-3.5-turbo
" Gwen is grieving for her fiance, Kyle.",10,"Gwen (1), is (1), grieving (2), for (1), her (1), fiance (2), Kyle (2)

Total: 10",gpt-3.5-turbo
"Killed in Afghanistan, Kyle is survived by his best friend, Tony.",16,"Killed (1), in (1), Afghanistan (4), Kyle (1), is (1), survived (3), by (1), his (1), best (1), friend (1), Tony (2).

Total: 16",gpt-3.5-turbo
"It's time for Gwen to move on, but she is finding it difficult.",16,"it's (1), time (1), for (1), Gwen (1), to (1), move (1), on (1), but (1), she (1), is (1), finding (2), it (1), difficult (3)

Total: 15",gpt-3.5-turbo
 Hannah Heartwell has no idea what she’s doing in Mexico.,17,"Hannah (2), Heartwell (2), has (1), no (1), idea (3), what (1), she’s (1), doing (2), in (1), Mexico (3)

Total: 17",gpt-3.5-turbo
Her relationship with Jorge has changed as has the sleepy little village.,19,"Her (1), relationship (4), with (1), Jorge (2), has (1), changed (1), as (1), has (1), the (1), sleepy (2), little (2), village (2).

Total: 19",gpt-3.5-turbo
Why is everyone fearful and unhappy.,11,"Why (1), is (1), everyone (3), fearful (2), and (1), unhappy (3).

Total: 11",gpt-3.5-turbo
"She has also spent one year dating the school’s charismatic pastor, Jorge.",19,15,gpt-3.5-turbo
A lot has happened in that one year.,9,"A (1), lot (1), has (1), happened (2), in (1), that (1), one (1), year (1)

Total: 9",gpt-3.5-turbo
The one thing that hasn't happened is a proposal.,13,"The total number of syllables in the sentence ""The one thing that hasn't happened is a proposal."" is 13.",gpt-3.5-turbo
"If not, she just may have to leave Mexico behind for good..",15,"If (1), not (1), she (1), just (1), may (1), have (1), to (1), leave (1), Mexico (3), behind (2), for (1), good (1)

Total: 15",gpt-3.5-turbo
"Her faith, along with her patience, is sorely tested as Christmas approaches.",19,"Her (1), faith (1), along (2), with (1), her (1), patience (2), is (1), sorely (2), tested (2), as (1), Christmas (2), approaches (3)

Total: 19",gpt-3.5-turbo
She is torn between two worlds and what is right and wrong.,13,"She (1), is (1), torn (1), between (2), two (1), worlds (1), and (1), what (1), is (1), right (1), and (1), wrong (1).

Total: 13",gpt-3.5-turbo
She meets him randomly in the woods at his family's cabin.,16,"She (1), meets (1), him (1), randomly (3), in (1), the (1), woods (1), at (1), his (1), family's (3), cabin (2).

Total: 15",gpt-3.5-turbo
From the start she's shaken by the lust his touch awakens inside her.,17,"From (1), the (1), start (1), she's (1), shaken (2), by (1), the (1), lust (1), his (1), touch (1), awakens (3), inside (2), her (1).

Total: 16",gpt-3.5-turbo
"Still mourning the loss of his mate, Cale is stunned to find Sorcha alive.",17,"Still (1), mourning (2), the (1), loss (1), of (1), his (1), mate (1), Cale (1), is (1), stunned (1), to (1), find (1), Sorcha (2), alive (2).

Total: 16",gpt-3.5-turbo
Desire that could unlock their past...or cause him to lose her all over again.,20,"Desire (2), that (1), could (1), unlock (2), their (1), past (1), or (1), cause (1), him (1), to (1), lose (1), her (1), all (1), over (2), again (2)

Total: 18",gpt-3.5-turbo
You never get over your first love.,9,"You (1), never (2), get (1), over (2), your (1), first (1), love (1)

Total: 9",gpt-3.5-turbo
"But, disappearing into the anonymous folds of a tourist town isn't easy.",22,"""But, disappearing into the anonymous folds of a tourist town isn't easy.""

Total syllables: 18",gpt-3.5-turbo
Her arrival in Tipee Island sets off a string of disturbing acts of vandalism.,23,"Her (1), arrival (3), in (1), Tipee (2), Island (2), sets (1), off (1), a (1), string (1), of (1), disturbing (3), acts (1), of (1), vandalism (3).

Total: 20",gpt-3.5-turbo
"It's not only her business, but her very life that's in danger.",16,"It's (1), not (1), only (2), her (1), business (2), but (1), her (1), very (2), life (1), that's (1), in (1), danger (2).

Total: 15",gpt-3.5-turbo
A stirring tale of love and feud.,8,"A (1), stirring (2), tale (1), of (1), love (1), and (1), feud (1)

Total: 8",gpt-3.5-turbo
" Captured by the swashbuckling pirate, Edward Christian, Eleanor feared degradation and, possibly, death.",26,"Captured (2), by (1), the (1), swashbuckling (3), pirate (2), Edward (2), Christian (2), Eleanor (3), feared (1), degradation (4), and (1), possibly (3), death (1).

Total: 25",gpt-3.5-turbo
A botched drug raid took her father’s life when she was 7.,14,"A (1), botched (1), drug (1), raid (1), took (1), her (1), father’s (2), life (1), when (1), she (1), was (1), 7 (1)

Total: 12",gpt-3.5-turbo
On her 13th birthday she witnessed her mother’s murder.,14,"On (1), her (1), 13th (1), birthday (2), she (1), witnessed (2), her (1), mother’s (2), murder (2).

Total: 13",gpt-3.5-turbo
"Alone in the world, Jennifer Blade sets out to even the score.",16,"Alone (2), in (1), the (1), world (1), Jennifer (3), Blade (1), sets (1), out (1), to (1), even (2), the (1), score (1).

Total: 15",gpt-3.5-turbo
Little does he know that all vacations are not created equal.,17,"Little (2), does (1), he (1), know (1), that (1), all (1), vacations (3), are (1), not (1), created (2), equal (2).

Total: 16",gpt-3.5-turbo
"All this, and as Steve says, they still have six days of vacation left.",16,"All (1), this (1), and (1), as (1), Steve (1), says (1), they (1), still (1), have (1), six (1), days (1), of (1), vacation (3), left (1).

Total: 15",gpt-3.5-turbo
"Their relationship touches long-buried feelings in Jennifer, and shatters the mundane existence suffocating Steve.",29,"Their (1), relationship (4), touches (2), long-buried (2), feelings (2), in (1), Jennifer (3), and (1), shatters (2), the (1), mundane (2), existence (3), suffocating (4), Steve (1).

Total: 24",gpt-3.5-turbo
THE GIRL IN THE STONE CIRCLE is Karen Hayes’ latest novel.,15,"THE (1), GIRL (1), IN (1), THE (1), STONE (1), CIRCLE (2), is (1), Karen (2), Hayes (1), latest (2), novel (2)

Total: 15",gpt-3.5-turbo
And suddenly Emma’s not so sure.,9,"And (1), suddenly (3), Emma's (2), not (1), so (1), sure (1)

Total: 9",gpt-3.5-turbo
"The two are thrown together, amidst the chaotic but secretive lives of the locals.",22,The total number of syllables in the sentence is 19.,gpt-3.5-turbo
HOW TO CHEER A SAD WIDOWER.,8,"HOW (1), TO (1), CHEER (1), A (1), SAD (1), WIDOWER (3)

Total: 8",gpt-3.5-turbo
If he is considered cynical--some would say positively misanthropic--it's of little consequence to him.,29,22,gpt-3.5-turbo
"As is the ton's latest darling, Lady Olivia Cunningham.",17,"As (1), is (1), the (1), ton's (1), latest (2), darling (2), Lady (2), Olivia (4), Cunningham (3)

Total: 17",gpt-3.5-turbo
"WHY FALL IN LOVE WITH HIM, OF COURSE.",8,10,gpt-3.5-turbo
Never has Olivia met a man who so desperately requires a woman's love...,23,"Never (2), has (1), Olivia (4), met (1), a (1), man (1), who (1), so (1), desperately (4), requires (2), a (1), woman's (2), love (1)

Total: 21",gpt-3.5-turbo
THEY WERE THE ORIGINAL ODD COUPLE.,10,"THEY (1), WERE (1), THE (1), ORIGINAL (4), ODD (1), COUPLE (2)

Total: 10",gpt-3.5-turbo
"To the English, Bram Ramsdale was Troy Castleman, star of stage and screen.",17,18,gpt-3.5-turbo
