grapheme,ground_truth_phoneme,predicted_phoneme,model
abb,ˈæb,/æb/,claude-3-5-haiku-20241022
abbot,ˈæbət,/ˈæbət/,claude-3-5-haiku-20241022
abdicated,ˈæbdəkˌeɪtəd,/ˈæbdəkeɪtəd/,claude-3-5-haiku-20241022
abednego,ˌæbɪdˈɛngˌoʊ,/əˌbɛdnəˈgoʊ/,claude-3-5-haiku-20241022
abelard,ˈæbɪlɚd,/ˈæbəlɑɹd/,claude-3-5-haiku-20241022
abetment,ˈeɪbəmtˌɛnt,/əˈbɛtmənt/,claude-3-5-haiku-20241022
abington,ˈæbɪŋtən,/ˈæbɪŋtən/,claude-3-5-haiku-20241022
ableism,ˈeɪbəlˌɪzəm,/ˈeɪbəlɪzəm/,claude-3-5-haiku-20241022
abood,əbˈuːd,/əˈbud/,claude-3-5-haiku-20241022
absently,ˈæbstəntli,/ˈæbsəntli/,claude-3-5-haiku-20241022
abusively,əbˈʌsəvli,/əˈbjusɪvli/,claude-3-5-haiku-20241022
accelerant,æksˈɛlɚənt,/ækˈsɛləɹənt/,claude-3-5-haiku-20241022
accuser,əkjˈuːzɚ,/əkˈkjuzɚ/,claude-3-5-haiku-20241022
achievable,ətʃˈiːvəbəl,/əˈtʃivəbəl/,claude-3-5-haiku-20241022
acle,ˈækəl,/ˈeɪkəl/,claude-3-5-haiku-20241022
acrylamide,ˈækɹəlˌaɪmd,/əˈkɹɪləmaɪd/,claude-3-5-haiku-20241022
adaptability,ədˌæptəbˈɪləti,/əˌdæptəˈbɪləti/,claude-3-5-haiku-20241022
adjoin,ədʒˈɔɪn,/ædˈdʒɔɪn/,claude-3-5-haiku-20241022
adjoined,ədʒˈɔɪnd,/əˈdʒɔɪnd/,claude-3-5-haiku-20241022
adjoining,ədʒˈɔɪnɪŋ,/əˈdʒɔɪnɪŋ/,claude-3-5-haiku-20241022
adjoins,ədʒˈɔɪnz,/əˈdʒɔɪnz/,claude-3-5-haiku-20241022
adjudicator,ədʒˈuːdəkˌeɪtɚ,/ædʒuˈdɪkeɪtɚ/,claude-3-5-haiku-20241022
admiring,ædmˈaɪɹɪŋ,/ædˈmaɪɹɪŋ/,claude-3-5-haiku-20241022
adoration,ˌædɚˈeɪʃən,/ˌædəˈɹeɪʃən/,claude-3-5-haiku-20241022
adr,ˈɑːdɚ,/ˈeɪ.di.ˈɑɹ/,claude-3-5-haiku-20241022
adroit,ədɹˈɔɪt,/əˈdɹɔɪt/,claude-3-5-haiku-20241022
adulation,ˌædʒəlˈeɪʃən,/ˌædʒəˈleɪʃən/,claude-3-5-haiku-20241022
adversary,ˈædvɚsˌɛɹi,/ˈædvɚsɛɹi/,claude-3-5-haiku-20241022
aerosol,ˈɛɹəsˌɑl,/ˈɛɹəsɔl/,claude-3-5-haiku-20241022
affidavit,ˌæfədˈeɪvət,/ˌæfɪˈdeɪvɪt/,claude-3-5-haiku-20241022
affliction,əflˈɪkʃən,/əˈflɪkʃən/,claude-3-5-haiku-20241022
aforesaid,əfˈɔːɹsˌɛd,/əˈfɔɹsɛd/,claude-3-5-haiku-20241022
aft,ˈæft,/æft/,claude-3-5-haiku-20241022
aftereffect,ˈæftɚəfˌɛkt,/ˌæftɚɪˈfɛkt/,claude-3-5-haiku-20241022
afterthought,ˈæftɚθˌɑt,/ˈæftɚθɔt/,claude-3-5-haiku-20241022
ahasuerus,əhˌæʃəwˈɛɹəs,/əhæzuˈɪɹəs/,claude-3-5-haiku-20241022
aileron,ˈeɪlɚˌɑn,/ˈeɪləɹɑn/,claude-3-5-haiku-20241022
ainu,ˈeɪnu,/ˈaɪnu/,claude-3-5-haiku-20241022
akasa,əkˈɑːsə,/əˈkɑsə/,claude-3-5-haiku-20241022
akhi,ˈɑːki,/ˈæki/,claude-3-5-haiku-20241022
alcaide,ˈælkˌeɪd,/ælˈkeɪd/,claude-3-5-haiku-20241022
alcool,ˈælkˌul,/ˈælkəhɔl/,claude-3-5-haiku-20241022
alfalfa,ˌælfˈælfə,/ælˈfælfə/,claude-3-5-haiku-20241022
alibi,ˈæləbˌaɪ,/ˈælɪbaɪ/,claude-3-5-haiku-20241022
alim,ˈælɪm,/ˈælɪm/,claude-3-5-haiku-20241022
alkin,ˈælkɪn,/ˈɔlkɪn/,claude-3-5-haiku-20241022
alliyah,əlˈaɪə,/əˈliə/,claude-3-5-haiku-20241022
allusion,əlˈuːʒən,/əˈluzən/,claude-3-5-haiku-20241022
alogliptin,ˌæləgˈɛtɪpən,/æləˈɡlɪptɪn/,claude-3-5-haiku-20241022
alphabets,ˈælfəbˌɛts,/ˈælfəbɛts/,claude-3-5-haiku-20241022
altaic,æltˈeɪɪk,/ælˈteɪɪk/,claude-3-5-haiku-20241022
alternately,ˈɔːltɚnətli,/ˈɔltɚnətli/,claude-3-5-haiku-20241022
amharic,ˈæmhɚɪk,/æmˈhɛɹɪk/,claude-3-5-haiku-20241022
amigos,əmˈiːgˌoʊz,/əˈmiɡoʊz/,claude-3-5-haiku-20241022
amigurumi,ˌæmgɪɹˈuːmi,/æmɪɡəˈɹumi/,claude-3-5-haiku-20241022
ammonia,əmˈoʊnjə,/æˈmoʊniə/,claude-3-5-haiku-20241022
amped,ˈæmpt,/ˈæmpt/,claude-3-5-haiku-20241022
amphibian,æmfˈɪbiən,/æmˈfɪbiən/,claude-3-5-haiku-20241022
amping,ˈæmpɪŋ,/ˈæmpɪŋ/,claude-3-5-haiku-20241022
amulets,ˈæmjələts,/ˈæmjəlɪts/,claude-3-5-haiku-20241022
amusingly,əmjˈuːzɪŋli,/əˈmjuzɪŋli/,claude-3-5-haiku-20241022
anabolic,ˌænəbˈɑːlɪk,/ˌænəˈbɑlɪk/,claude-3-5-haiku-20241022
androgyny,ændɹˈɔːdʒəni,/ænˈdɹɑdʒəni/,claude-3-5-haiku-20241022
anew,ənˈuː,/əˈnu/,claude-3-5-haiku-20241022
angioplasty,ˈændʒiəplˌæsti,/ˈændʒioʊˌplæsti/,claude-3-5-haiku-20241022
animosity,ˌænəmˈɑːsəti,/ˌænəˈmɑsəti/,claude-3-5-haiku-20241022
anion,ˈeɪniən,/ˈænˌaɪɑn/,claude-3-5-haiku-20241022
ankylosaurus,ˌæŋkələsˈɔːɹəs,/æŋkɪloˈsɔɹəs/,claude-3-5-haiku-20241022
annal,ˈænəl,/ˈænəl/,claude-3-5-haiku-20241022
annoyance,ənˈɔɪəns,/əˈnɔɪəns/,claude-3-5-haiku-20241022
anoint,ənˈɔɪnt,/əˈnɔɪnt/,claude-3-5-haiku-20241022
anointed,ənˈɔɪntəd,/əˈnɔɪntɪd/,claude-3-5-haiku-20241022
anonymity,ˌænənˈɪmɪti,/ˌænəˈnɑmɪti/,claude-3-5-haiku-20241022
anteroom,æntɚˈʊm,/ˈæntəɹum/,claude-3-5-haiku-20241022
anthems,ˈænθəmz,/ˈænθəmz/,claude-3-5-haiku-20241022
anthropocentrism,ˌænθɹəpətɹˈɪsənz,/ˌænθɹopoʊˈsɛntɹɪzəm/,claude-3-5-haiku-20241022
anthroposophy,ˌænθɹəpˈɑːzəpi,/ˌænθɹəˈpɑsəfi/,claude-3-5-haiku-20241022
antioch,ˈæntiˌɑk,/ˈæntɪˌɑk/,claude-3-5-haiku-20241022
antiope,ˈæntiˌoʊp,/ænˈtaɪəpi/,claude-3-5-haiku-20241022
antiphon,ˈæntəfˌɑn,/ˈæntəfɑn/,claude-3-5-haiku-20241022
antipodal,æntˈɪpədəl,/ænˈtɪpədəl/,claude-3-5-haiku-20241022
antipollution,ˌæntəpəlˈeɪʃəp,/ˌæntɪpəˈluʃən/,claude-3-5-haiku-20241022
antiquities,æntˈɪkwətiz,/æntˈɪkwɪtiz/,claude-3-5-haiku-20241022
antler,ˈæntlɚ,/ˈæntlɚ/,claude-3-5-haiku-20241022
