grapheme,ground_truth_phoneme,predicted_phoneme,model
abb,ˈæb,The General American English pronunciation of 'abb' is /æb/.,gpt-3.5-turbo
abbot,ˈæbət,The General American English pronunciation of 'abbot' is /ˈæbət/.,gpt-3.5-turbo
abdicated,ˈæbdəkˌeɪtəd,The General American English pronunciation of 'abdicated' is /ˈæbdɪˌkeɪtɪd/.,gpt-3.5-turbo
abednego,ˌæbɪdˈɛngˌoʊ,The General American English pronunciation of 'abednego' is /əˈbɛdnɪɡoʊ/.,gpt-3.5-turbo
abelard,ˈæbɪlɚd,The General American English pronunciation of 'abelard' is /ˈæbəlɑɹd/.,gpt-3.5-turbo
abetment,ˈeɪbəmtˌɛnt,The General American English pronunciation of 'abetment' is /əˈbɛtmənt/.,gpt-3.5-turbo
abington,ˈæbɪŋtən,The General American English pronunciation of 'Abington' is /ˈæbɪŋtən/.,gpt-3.5-turbo
ableism,ˈeɪbəlˌɪzəm,The General American English pronunciation of 'ableism' is /ˈeɪbəˌlɪzəm/.,gpt-3.5-turbo
abood,əbˈuːd,The General American English pronunciation of 'abood' is /əˈbud/.,gpt-3.5-turbo
absently,ˈæbstəntli,The General American English pronunciation of 'absently' is /ˈæbsəntli/.,gpt-3.5-turbo
abusively,əbˈʌsəvli,The General American English pronunciation of 'abusively' is /əˈbjuzɪvli/.,gpt-3.5-turbo
accelerant,æksˈɛlɚənt,The General American English pronunciation of 'accelerant' is /ækˈsɛləɹənt/.,gpt-3.5-turbo
accuser,əkjˈuːzɚ,The General American English pronunciation of 'accuser' is /əˈkjuzɚ/.,gpt-3.5-turbo
achievable,ətʃˈiːvəbəl,The General American English pronunciation of 'achievable' is /əˈtʃiːvəbəl/.,gpt-3.5-turbo
acle,ˈækəl,The General American English pronunciation of 'acle' is /ˈeɪkəl/.,gpt-3.5-turbo
acrylamide,ˈækɹəlˌaɪmd,The General American English pronunciation of 'acrylamide' is /ˌækɹəˈlæmaɪd/.,gpt-3.5-turbo
adaptability,ədˌæptəbˈɪləti,The General American English pronunciation of 'adaptability' is /əˌdæptəˈbɪləti/.,gpt-3.5-turbo
adjoin,ədʒˈɔɪn,The General American English pronunciation of 'adjoin' is /ədˈʤɔɪn/.,gpt-3.5-turbo
adjoined,ədʒˈɔɪnd,The General American English pronunciation of 'adjoined' is /ədˈʤɔɪnd/.,gpt-3.5-turbo
adjoining,ədʒˈɔɪnɪŋ,The General American English pronunciation of 'adjoining' is /əˈdʒɔɪnɪŋ/.,gpt-3.5-turbo
adjoins,ədʒˈɔɪnz,The General American English pronunciation of 'adjoins' is /ədˈʤɔɪnz/.,gpt-3.5-turbo
adjudicator,ədʒˈuːdəkˌeɪtɚ,The General American English pronunciation of 'adjudicator' is /əˈdʒuːdɪˌkeɪtəɹ/.,gpt-3.5-turbo
admiring,ædmˈaɪɹɪŋ,The General American English pronunciation of 'admiring' is /ədˈmaɪɹɪŋ/.,gpt-3.5-turbo
adoration,ˌædɚˈeɪʃən,The General American English pronunciation of 'adoration' is /ˌædəˈɹeɪʃən/.,gpt-3.5-turbo
adr,ˈɑːdɚ,The General American English pronunciation of 'adr' is /ædɹ/.,gpt-3.5-turbo
adroit,ədɹˈɔɪt,The General American English pronunciation of 'adroit' is /əˈdɹɔɪt/.,gpt-3.5-turbo
adulation,ˌædʒəlˈeɪʃən,The General American English pronunciation of 'adulation' is /ˌædʒəˈleɪʃən/.,gpt-3.5-turbo
adversary,ˈædvɚsˌɛɹi,The General American English pronunciation of 'adversary' is /ˈædvɚˌsɛri/.,gpt-3.5-turbo
aerosol,ˈɛɹəsˌɑl,The General American English pronunciation of 'aerosol' is /ˈɛrəˌsɔl/.,gpt-3.5-turbo
affidavit,ˌæfədˈeɪvət,The General American English pronunciation of 'affidavit' is /ˌæfəˈdeɪvɪt/.,gpt-3.5-turbo
affliction,əflˈɪkʃən,The General American English pronunciation of 'affliction' is /əˈflɪkʃən/.,gpt-3.5-turbo
aforesaid,əfˈɔːɹsˌɛd,The General American English pronunciation of 'aforesaid' is /əˈfɔɹˌsɛd/.,gpt-3.5-turbo
aft,ˈæft,The General American English pronunciation of 'aft' is /æft/.,gpt-3.5-turbo
