sentence,ground_truth_syllable_count,predicted_syllable_count,model_id
"However, she's changed and solid in her beliefs.",12,"Let's count the syllables:

However (4), she's (1), changed (1), and (1), solid (2), in (1), her (1), beliefs (2)

Total: 13 syllables",claude-3-5-haiku-20241022
This story is about a young girl's redemption in a small town.,16,16,claude-3-5-haiku-20241022
 Grace has resigned herself to simply completing the upbringing of her teenage daughter.,22,22,claude-3-5-haiku-20241022
Donald Braxton becomes the pastor of Grace's church and there is an immediate attraction.,24,"Let me count the syllables carefully:

Donald (2), Braxton (2), becomes (2), the (1), pastor (2), of (1), Grace's (2), church (1), and (1), there (1), is (1), an (1), immediate (4), attraction (3)

Total: 23 syllables",claude-3-5-haiku-20241022
Will Grace be able to accept what God has laid before her.,15,"Let's count the syllables:

Will (1), Grace (1), be (1), able (2), to (1), accept (2), what (1), God (1), has (1), laid (1), before (2), her (1)

Total: 15 syllables",claude-3-5-haiku-20241022
" Gwen is grieving for her fiance, Kyle.",10,12 syllables,claude-3-5-haiku-20241022
"Killed in Afghanistan, Kyle is survived by his best friend, Tony.",16,"Let's count the syllables:

Killed (1), in (1), Afghanistan (4), Kyle (1), is (1), survived (2), by (1), his (1), best (1), friend (1), Tony (2)

Total: 16 syllables",claude-3-5-haiku-20241022
"It's time for Gwen to move on, but she is finding it difficult.",16,"Let's count the syllables:

It's (1), time (1), for (1), Gwen (1), to (1), move (1), on (1), but (1), she (1), is (1), finding (2), it (1), difficult (3)

Total: 15 syllables",claude-3-5-haiku-20241022
 Hannah Heartwell has no idea what she’s doing in Mexico.,17,20 syllables,claude-3-5-haiku-20241022
Her relationship with Jorge has changed as has the sleepy little village.,19,"Her (1), relationship (4), with (1), Jorge (2), has (1), changed (1), as (1), has (1), the (1), sleepy (2), little (2), village (2)

Total: 19 syllables",claude-3-5-haiku-20241022
Why is everyone fearful and unhappy.,11,"Let's count the syllables:

Why (1), is (1), everyone (3), fearful (2), and (1), unhappy (3)

Total: 11 syllables",claude-3-5-haiku-20241022
"She has also spent one year dating the school’s charismatic pastor, Jorge.",19,"Let's count the syllables:

She (1), has (1), also (2), spent (1), one (1), year (1), dating (2), the (1), school's (1), charismatic (4), pastor (2), Jorge (2)

Total: 19 syllables",claude-3-5-haiku-20241022
A lot has happened in that one year.,9,12 syllables,claude-3-5-haiku-20241022
The one thing that hasn't happened is a proposal.,13,13 syllables,claude-3-5-haiku-20241022
"If not, she just may have to leave Mexico behind for good..",15,"Let's count the syllables:

If (1), not (1), she (1), just (1), may (1), have (1), to (1), leave (1), Mexico (3), behind (2), for (1), good (1)

Total: 14 syllables",claude-3-5-haiku-20241022
"Her faith, along with her patience, is sorely tested as Christmas approaches.",19,"Her (1), faith (1), along (2), with (1), her (1), patience (2), is (1), sorely (2), tested (2), as (1), Christmas (2), approaches (3)

Total: 16 syllables",claude-3-5-haiku-20241022
She is torn between two worlds and what is right and wrong.,13,"Let's count the syllables:

She (1), is (1), torn (1), between (2), two (1), worlds (1), and (1), what (1), is (1), right (1), and (1), wrong (1)

Total: 13 syllables",claude-3-5-haiku-20241022
She meets him randomly in the woods at his family's cabin.,16,16,claude-3-5-haiku-20241022
From the start she's shaken by the lust his touch awakens inside her.,17,"Let's count the syllables:

From (1), the (1), start (1), she's (1), shaken (2), by (1), the (1), lust (1), his (1), touch (1), awakens (3), inside (2), her (1)

Total: 16 syllables",claude-3-5-haiku-20241022
"Still mourning the loss of his mate, Cale is stunned to find Sorcha alive.",17,"Let's count the syllables:

Still (1), mourning (2), the (1), loss (1), of (1), his (1), mate (1), Cale (2), is (1), stunned (1), to (1), find (1), Sorcha (3), alive (2)

Total: 19 syllables",claude-3-5-haiku-20241022
Desire that could unlock their past...or cause him to lose her all over again.,20,"Let me count the syllables carefully:

Desire (2), that (1), could (1), unlock (2), their (1), past (1), or (1), cause (1), him (1), to (1), lose (1), her (1), all (1), over (2), again (2)

Total: 20 syllables",claude-3-5-haiku-20241022
You never get over your first love.,9,"Let's count the syllables:

You (1), never (2), get (1), over (2), your (1), first (1), love (1)

Total: 9 syllables",claude-3-5-haiku-20241022
"But, disappearing into the anonymous folds of a tourist town isn't easy.",22,"Let's count the syllables:

But (1), disappearing (4), into (2), the (1), anonymous (4), folds (1), of (1), a (1), tourist (2), town (1), isn't (2), easy (2)

Total: 22 syllables",claude-3-5-haiku-20241022
Her arrival in Tipee Island sets off a string of disturbing acts of vandalism.,23,"Her (1), arrival (3), in (1), Tipee (2), Island (2), sets (1), off (1), a (1), string (1), of (1), disturbing (3), acts (1), of (1), vandalism (4)

Total: 22 syllables",claude-3-5-haiku-20241022
"It's not only her business, but her very life that's in danger.",16,"Let's count the syllables:

It's (1), not (1), only (2), her (1), business (2), but (1), her (1), very (2), life (1), that's (1), in (1), danger (2)

Total: 16 syllables",claude-3-5-haiku-20241022
A stirring tale of love and feud.,8,"Let's count the syllables:

A (1), stirring (2), tale (1), of (1), love (1), and (1), feud (1)

Total: 8 syllables",claude-3-5-haiku-20241022
" Captured by the swashbuckling pirate, Edward Christian, Eleanor feared degradation and, possibly, death.",26,"Let's count the syllables:

Captured (2), by (1), the (1), swashbuckling (3), pirate (2), Edward (2), Christian (3), Eleanor (3), feared (1), degradation (4), and (1), possibly (3), death (1)

Total: 26 syllables",claude-3-5-haiku-20241022
A botched drug raid took her father’s life when she was 7.,14,"Let's count the syllables:

A (1), botched (1), drug (1), raid (1), took (1), her (1), father's (2), life (1), when (1), she (1), was (1), 7 (0)

Total: 11 syllables",claude-3-5-haiku-20241022
On her 13th birthday she witnessed her mother’s murder.,14,20 syllables,claude-3-5-haiku-20241022
"Alone in the world, Jennifer Blade sets out to even the score.",16,"Let's count the syllables:

Alone (2), in (1), the (1), world (1), Jennifer (3), Blade (1), sets (1), out (1), to (1), even (2), the (1), score (1)

Total: 15 syllables",claude-3-5-haiku-20241022
Little does he know that all vacations are not created equal.,17,"Let's count the syllables:

Little (2), does (1), he (1), know (1), that (1), all (1), vacations (3), are (1), not (1), created (3), equal (2)

Total: 16 syllables",claude-3-5-haiku-20241022
"All this, and as Steve says, they still have six days of vacation left.",16,"Let's count the syllables:

All (1), this (1), and (1), as (1), Steve (1), says (1), they (1), still (1), have (1), six (1), days (1), of (1), vacation (4), left (1)

Total: 16 syllables",claude-3-5-haiku-20241022
"Their relationship touches long-buried feelings in Jennifer, and shatters the mundane existence suffocating Steve.",29,"Let's count the syllables:

Their (1), relationship (4), touches (2), long-buried (3), feelings (2), in (1), Jennifer (3), and (1), shatters (2), the (1), mundane (2), existence (3), suffocating (4), Steve (1)

Total: 30 syllables",claude-3-5-haiku-20241022
THE GIRL IN THE STONE CIRCLE is Karen Hayes’ latest novel.,15,"Let's count the syllables:

The (1), girl (1), in (1), the (1), stone (1), circle (2), is (1), Karen (2), Hayes' (1), latest (2), novel (2)

Total: 15 syllables",claude-3-5-haiku-20241022
And suddenly Emma’s not so sure.,9,"Let's count the syllables:

And (1), suddenly (3), Emma's (2), not (1), so (1), sure (1)

Total: 9 syllables",claude-3-5-haiku-20241022
"The two are thrown together, amidst the chaotic but secretive lives of the locals.",22,"Let's count the syllables:

The (1), two (1), are (1), thrown (1), together (3), amidst (2), the (1), chaotic (3), but (1), secretive (4), lives (1), of (1), the (1), locals (2)

Total: 22 syllables",claude-3-5-haiku-20241022
HOW TO CHEER A SAD WIDOWER.,8,10 syllables,claude-3-5-haiku-20241022
If he is considered cynical--some would say positively misanthropic--it's of little consequence to him.,29,"Let's count the syllables:

If (1), he (1), is (1), considered (3), cynical (3), some (1), would (1), say (1), positively (4), misanthropic (4), it's (1), of (1), little (2), consequence (3), to (1), him (1)

Total: 29 syllables",claude-3-5-haiku-20241022
