sentence,ground_truth_syllable_count,predicted_syllable_count,model_id
"However, she's changed and solid in her beliefs.",12,14,gpt-4o
This story is about a young girl's redemption in a small town.,16,16,gpt-4o
 Grace has resigned herself to simply completing the upbringing of her teenage daughter.,22,22,gpt-4o
Donald Braxton becomes the pastor of Grace's church and there is an immediate attraction.,24,21,gpt-4o
Will Grace be able to accept what God has laid before her.,15,17,gpt-4o
" Gwen is grieving for her fiance, Kyle.",10,11,gpt-4o
"Killed in Afghanistan, Kyle is survived by his best friend, Tony.",16,17,gpt-4o
"It's time for Gwen to move on, but she is finding it difficult.",16,18,gpt-4o
 Hannah Heartwell has no idea what she’s doing in Mexico.,17,17,gpt-4o
Her relationship with Jorge has changed as has the sleepy little village.,19,19,gpt-4o
Why is everyone fearful and unhappy.,11,11,gpt-4o
"She has also spent one year dating the school’s charismatic pastor, Jorge.",19,19,gpt-4o
A lot has happened in that one year.,9,10,gpt-4o
The one thing that hasn't happened is a proposal.,13,13,gpt-4o
"If not, she just may have to leave Mexico behind for good..",15,17,gpt-4o
"Her faith, along with her patience, is sorely tested as Christmas approaches.",19,19,gpt-4o
She is torn between two worlds and what is right and wrong.,13,15,gpt-4o
She meets him randomly in the woods at his family's cabin.,16,16,gpt-4o
From the start she's shaken by the lust his touch awakens inside her.,17,19,gpt-4o
"Still mourning the loss of his mate, Cale is stunned to find Sorcha alive.",17,19,gpt-4o
Desire that could unlock their past...or cause him to lose her all over again.,20,19,gpt-4o
You never get over your first love.,9,10,gpt-4o
"But, disappearing into the anonymous folds of a tourist town isn't easy.",22,19,gpt-4o
Her arrival in Tipee Island sets off a string of disturbing acts of vandalism.,23,21,gpt-4o
"It's not only her business, but her very life that's in danger.",16,17,gpt-4o
A stirring tale of love and feud.,8,10,gpt-4o
" Captured by the swashbuckling pirate, Edward Christian, Eleanor feared degradation and, possibly, death.",26,24,gpt-4o
A botched drug raid took her father’s life when she was 7.,14,15,gpt-4o
On her 13th birthday she witnessed her mother’s murder.,14,15,gpt-4o
"Alone in the world, Jennifer Blade sets out to even the score.",16,17,gpt-4o
Little does he know that all vacations are not created equal.,17,17,gpt-4o
"All this, and as Steve says, they still have six days of vacation left.",16,19,gpt-4o
"Their relationship touches long-buried feelings in Jennifer, and shatters the mundane existence suffocating Steve.",29,27,gpt-4o
THE GIRL IN THE STONE CIRCLE is Karen Hayes’ latest novel.,15,17,gpt-4o
And suddenly Emma’s not so sure.,9,10,gpt-4o
"The two are thrown together, amidst the chaotic but secretive lives of the locals.",22,21,gpt-4o
HOW TO CHEER A SAD WIDOWER.,8,10,gpt-4o
If he is considered cynical--some would say positively misanthropic--it's of little consequence to him.,29,27,gpt-4o
"As is the ton's latest darling, Lady Olivia Cunningham.",17,17,gpt-4o
"WHY FALL IN LOVE WITH HIM, OF COURSE.",8,10,gpt-4o
Never has Olivia met a man who so desperately requires a woman's love...,23,21,gpt-4o
THEY WERE THE ORIGINAL ODD COUPLE.,10,11,gpt-4o
"To the English, Bram Ramsdale was Troy Castleman, star of stage and screen.",17,19,gpt-4o
"To Tally, he was just a pain.",8,10,gpt-4o
"Though he was sophisticated, charming and witty, he was definitely not her type.",22,20,gpt-4o
And then the real fireworks began....,8,10,gpt-4o
The gun trained on his chest left him with no choice...,11,14,gpt-4o
So why did it have to hurt so bad...and cost her so much.,14,17,gpt-4o
Caitlyn Brown had never expected C.,10,12,gpt-4o
Starr to walk back into her life after all they'd endured.,14,15,gpt-4o
She nearly burst with happiness ..,8,10,gpt-4o
"Still, Sara wanted to be his wife -- and more.",11,14,gpt-4o
Gavin Carlisle was trapped and he knew it.,10,12,gpt-4o
At least his bride was beautiful.,8,10,gpt-4o
"Her creamy full breasts, smooth alabaster skin, and soft red lips were tempting, indeed.",20,21,gpt-4o
Isla was supposed to get her happily ever after.,15,14,gpt-4o
"The Beast Masters Series, Book 2.",8,10,gpt-4o
Jaston and Malock were once as close as brothers.,12,13,gpt-4o
War and the scars it left behind changed that.,10,12,gpt-4o
"In fact, she’s as spirited as they come.",10,11,gpt-4o
If they don’t do it soon they risk The Heat overtaking them.,15,17,gpt-4o
She wants them to dominate her right into an orgasmic frenzy.,18,17,gpt-4o
This novella is hot and dirty and won’t apologize for that fact.,18,17,gpt-4o
"When Ruel Chouteau returns home after his supposed death, he shocks everyone.",18,19,gpt-4o
Now Ruel and Anne must face a future they never expected.,15,17,gpt-4o
Mixing fire and ice can be hell.,9,10,gpt-4o
Fyra had one job: make the vampire Bishop the underworld’s tool.,16,19,gpt-4o
"But despite her best feminine wiles, the delicious male wouldn’t break.",17,19,gpt-4o
Now pursued by her fellow demons—and one very angry Bishop—she’s running out of options.,24,21,gpt-4o
Does this couple have an icicle's chance in hell.,12,12,gpt-4o
Get your copy to find out.,7,8,gpt-4o
"Sex, blood, and rock n\’ roll.",6,8,gpt-4o
Now I fear it might be true.,7,9,gpt-4o
In eight seconds Dalton Merrill's professional bull riding days—and the fame he enjoyed—ended.,23,21,gpt-4o
"Emilee Walker trusted Dalton with her heart, and he left her for the rodeo.",21,19,gpt-4o
"She wanted Dalton to return home, but not like this.",13,13,gpt-4o
Now she wonders if it's responsibility or love that holds him on Lone Creek.,20,19,gpt-4o
Watch out—these heroes and heroines have claws.,12,12,gpt-4o
Four purrfectly passionate matches are made for the ages in this were-cat collection.,22,21,gpt-4o
Casey Mitchell has always kept his identity as a were-lynx secret.,20,17,gpt-4o
Their survival depends on trusting each other with secrets better left unspoken.,21,19,gpt-4o
Will these two lonely souls triumph and find true love … or lose everything.,17,19,gpt-4o
But falling in love could be the most dangerous game.,13,13,gpt-4o
 A historical western cowboy romance novel about a mail order bride.,20,19,gpt-4o
"Maggie is enthralled with Charles, the man she plans to marry.",14,17,gpt-4o
The loneliness also came then with the social stigma of being a spinster.,20,19,gpt-4o
"To say he was shy, would be the biggest understatement of the century.",19,19,gpt-4o
Not that she does much to catch his attention.,11,13,gpt-4o
A novella by USA Today Bestselling Author Jen Talty.,18,15,gpt-4o
Violet knows she shouldn't be consorting with the enemy.,16,15,gpt-4o
But she can't resist the adorable baby and her handsome new caretaker.,20,19,gpt-4o
Violet traded her chance at motherhood for her career years ago.,18,17,gpt-4o
But raising a family with Jake could be everything she's ever wanted.,19,17,gpt-4o
A killer who was dressed as a LaMar Pond policeman.,14,15,gpt-4o
"But then she's attacked again, and rescued…by a LaMar Pond cop.",17,17,gpt-4o
Trusting Lieutenant Dan Willis is frightening.,12,12,gpt-4o
"But to protect her babies, she'll risk anything.",12,13,gpt-4o
John Cabell secretly commissions Adam to build the most powerful rifle of its time.,23,19,gpt-4o
"Increasingly, it is clear that no good can come from these bitter tensions.",18,19,gpt-4o
Mysterious killings cast a sinister shade over the frontier community.,21,19,gpt-4o
" Is it possible that love, unlike lightning, can strike twice in the same place.",18,19,gpt-4o
"After all this time, old Adam Kyle may harbor one last secret.",16,17,gpt-4o
Jennie Nan spends her time wrapped in boredom.,10,12,gpt-4o
"Now she’s a prisoner of her body, as it slides toward death.",16,17,gpt-4o
"Now, seeking adventure downtown, she’s found Miles Carson, a positively beautiful man.",22,21,gpt-4o
"But oddly, her watch is still running.",9,10,gpt-4o
"Unless it’s using the ghost of a battery, just maybe….",15,15,gpt-4o
"He is distinctly cold towards her, but despite his unpleasantness, he melts her heart….",21,24,gpt-4o
He could go head to head with the devil.,10,11,gpt-4o
But fortunately that wasn't going to be necessary.,16,13,gpt-4o
To his home territory in Chicago.,11,11,gpt-4o
The question was...what would he do with her once he had her.,14,17,gpt-4o
"He needed to find her and love her at any cost, cost, cost.",15,19,gpt-4o
I left the door open.And he stole me.,10,13,gpt-4o
Virginia finds herself back in The House where her nightmare began.,16,19,gpt-4o
PURE TRASH from cover to cover.,8,8,gpt-4o
Which one does he finally choose.,8,8,gpt-4o
"Foiling her brother’s activities, however, becomes her top priority.",20,17,gpt-4o
It should be a dream come true for divorcée Eve Kelly.,14,15,gpt-4o
Twins their secret daddy can never know about….,12,13,gpt-4o
But Eve isn't the same woman he left.,10,11,gpt-4o
It's as if she's hiding something.,8,10,gpt-4o
Adam is used to getting what he wants -- and he wants Eve.,14,17,gpt-4o
I never thought this would be my life.,9,10,gpt-4o
"Against all odds, I’ve managed to ensnare Manhattan’s most eligible bachelor.",21,19,gpt-4o
But the man I love is not who he claims to be.,12,13,gpt-4o
"To the world, he’s a wealthy, mysterious, playboy.",13,15,gpt-4o
"When his enemies come for us, will we be ready.",13,13,gpt-4o
"He doesn’t expect to find such a willing, or seductive, volunteer.",18,17,gpt-4o
Where did he learn therapeutic massage.,10,12,gpt-4o
Fox isn't making it any better by acting differently after her birthday.,21,19,gpt-4o
There’s nothing like a hot kiss on a cold day….,11,13,gpt-4o
"Only Gavin Fraser isn’t a fantasy, he’s a mouth-watering new flavor….",20,19,gpt-4o
"All the Delaneys loved a challenge, but she'd never learned how to surrender.",20,19,gpt-4o
Could she be subdued by the desire in Sloan's golden eyes.,15,15,gpt-4o
" When her twin brother Patrick disappeared, Brianne vowed to track down his abductors.",20,21,gpt-4o
"Then Sloan offered to rescue him, if she'd give herself to him.",15,17,gpt-4o
But would Sloan's desperate feud shatter their dreams of enduring love.,15,17,gpt-4o
The New York Times and USA Today Bestselling series continues..,18,17,gpt-4o
"I belong to him-body, heart, and soul.",10,12,gpt-4o
I found strength in his dominance.,8,10,gpt-4o
But I never imagined it would end like this.,12,12,gpt-4o
I thought I knew what marrying Alexander meant to my life.,16,17,gpt-4o
"That is, until everything gets turned upside down.",12,13,gpt-4o
"Torn between brother and lover, Freya doesn't know who to trust.",16,17,gpt-4o
"And, for the first time, Ingrid is in love with a charming detective.",17,19,gpt-4o
Will the discovery come too late to save those they love most.,15,17,gpt-4o
Ava Minor is done being the good girl.,11,12,gpt-4o
"Except Landon has no intention of letting his daring, seductive lioness go….",22,19,gpt-4o
"To top it all off, I miss my Stunner.",10,11,gpt-4o
"Protecting her body, heart, and soul is one of those.",13,17,gpt-4o
Forever.WARNING: Explicit violence which could be triggers for some readers.,19,19,gpt-4o
Explicit sex that might offend some readers.,11,11,gpt-4o
"As always, you can expect a HEA with no cheating.",13,14,gpt-4o
"As their search intensifies, Lisa and Trey have only each other to rely on.",21,19,gpt-4o
"Just a simple blacksmith’s assistant, he didn’t have much to offer, but his love.",20,20,gpt-4o
But he found another man had taken interest in Emily.,16,15,gpt-4o
	When they butted heads the man vowed his revenge.,11,12,gpt-4o
He left Bart for dead in the middle of the dessert.,13,13,gpt-4o
"For the first time in years, there is someone she is falling for.",15,17,gpt-4o
and it.s not someone her spouse would approve of.,12,13,gpt-4o
This includes most of my opinions.,9,10,gpt-4o
Except I don.t have popular opinions about anything.,17,15,gpt-4o
"I know I.m messed up, but it could be worse.",11,11,gpt-4o
Not even my wife understand thats.,9,11,gpt-4o
It.s taken twenty years for Reina and Aiko to seal their relationship.,21,19,gpt-4o
or their reason for living is.,8,10,gpt-4o
And they want so badly for it to be each other.,13,14,gpt-4o
"Lucas, Jackson, and Brandon are all friends who run a security company together.",23,21,gpt-4o
"More than that, they’re honorable men.",9,10,gpt-4o
"Will there be happily ever after for the finest men of Bath, the Dukes.",19,19,gpt-4o
WILL THERE BE TRUE LOVE BETWEEN THEM...,8,10,gpt-4o
marriage of convenience to safeguard his inheritance.,14,15,gpt-4o
"However, when a threat against their twin babies is uncovered,.",16,17,gpt-4o
can true love finally blossom for the Duke of Cumberland and his bride.,18,18,gpt-4o
WILL THERE BE LOVE FOR THIS MARRIAGE OF INHERITANCE....,13,17,gpt-4o
"Lord Michael Havenshire, ready to become Duke Havenshire,.",15,15,gpt-4o
"He wants no one except Lady Clare,.",9,10,gpt-4o
but she wants nothing to do with him.,9,10,gpt-4o
"He is determined to win her heart, but he must become her….",15,17,gpt-4o
KNIGHT IN SHINING ARMOR IF SHE WILL LET HIM...,11,12,gpt-4o
 and become a pauper in his hometown.,10,12,gpt-4o
WILL THE RUMORS OF ILLEGITIMACY RUIN HIS LIFE.,15,15,gpt-4o
Rose will have nothing to do with him.,9,10,gpt-4o
Will they be doomed to lonely lives.,8,10,gpt-4o
The Smithton triplets had picked Texas Ranger Steve Kessler to marry their mom.,19,21,gpt-4o
But how could they bring a big-city lawman to a place like Almost.,16,19,gpt-4o
"Write him about the ""murder"" in town.",9,10,gpt-4o
Widow Taylor Smithton was aghast at her boys' latest stunt.,15,15,gpt-4o
"A whole month of boating, swimming, and exploring.",12,13,gpt-4o
"And try as they might, neither one can help wondering whom T.J.",16,15,gpt-4o
"will prefer - friendly, athletic Cassie or quiet, sensitive Claudia.",19,19,gpt-4o
The girls have always been as close as two sisters can be.,14,16,gpt-4o
Will that change if one of them wins T.J.'s love.,12,13,gpt-4o
But the story did not end there.,8,8,gpt-4o
Elizabeth receives Darcy's Last Promise in his final moments in that lifetime.,21,19,gpt-4o
"The story is full of humor, hope, frustration, pain and joy.",15,17,gpt-4o
Watch for the sequel Darcy's Last Promise Tested.,12,13,gpt-4o
It’s the last one before reality sets in and they’re off on their own.,18,19,gpt-4o
Carly is ready to break the mold and stop being known as a goody-two-shoes.,20,21,gpt-4o
Carly isn’t like the rest of the girls at school that drive him crazy.,17,19,gpt-4o
Can she endure such treachery and survive the sweeping winds of uncertainty.,20,20,gpt-4o
The highly anticipated last book in the Anathergians Trilogy is here at long last.,24,21,gpt-4o
"Their leader, Travik, is gathering a force from space to kill every last human.",21,21,gpt-4o
His hold is slipping as the threats multiply each day.,13,14,gpt-4o
"Then there’s Auden’s Lifemate, Leah, whom he loves above all others.",16,19,gpt-4o
"THE QUEEN J'ashidah, the Anathergian gathering, is upon them.",17,19,gpt-4o
It doesn’t matter that the villain is her father.,13,13,gpt-4o
"She’s had enough of his continual harassment and attacks, especially to those she loves.",23,22,gpt-4o
"She will do whatever it takes, including lies and deception, to end this threat.",20,19,gpt-4o
"First, however, he must convince Leah to agree with his way of thinking.",19,19,gpt-4o
"Best-selling novelist Celine Hart is up against that figurative wall, writer's block.",21,20,gpt-4o
"Hard as she tries, she finds her computer screen blank, and her paper unmarked.",18,20,gpt-4o
Stephan has experienced Celine's frustrations on his way to becoming a popular Christian singer.,27,22,gpt-4o
Will Stephan and Celine's unplanned reunion be just another walk down memory lane.,22,21,gpt-4o
Will Stephan have the courage to share the reason behind his remarkable success story.,23,21,gpt-4o
"I had exactly the life I'd always wanted, until it...wasn't.",17,17,gpt-4o
"Not exactly the perfect confidante, right.",11,12,gpt-4o
"He was patient, he didn't judge, and he had a wicked sense of humor.",18,19,gpt-4o
Centurion Marcus Florius Corvus has a splendid career in the legions ahead of him.,25,21,gpt-4o
"She regains consciousness in a cabin with her dangerously sexy, muscled rescuer.",23,20,gpt-4o
Sheikh Rashid of Quador finally wants to marry his arranged bride.,17,17,gpt-4o
But Jenna has discovered what a playboy he really is.,15,14,gpt-4o
Clair around to keep her on her toes.,9,11,gpt-4o
The rugged daredevil pilot had an uncanny knack for unsettling her completely.,23,21,gpt-4o
It was a night of exquisite rapture that changed Lady Octavia Grenville's life forever.,24,21,gpt-4o
"Matthew, the Earl of Sutcliffe, is not the man Octavia once knew.",17,19,gpt-4o
Somehow he must expose his own heart in order to find hers...,15,17,gpt-4o
But first it has to start.,6,7,gpt-4o
Nettie Smith is a writer in search of a story.,13,13,gpt-4o
There’s only one catch: She must go undercover as a mail-order bride.,18,19,gpt-4o
Now she just needs to convince him to be the hero.,13,15,gpt-4o
Mail Order Mounties is a multi-author series set in Canada during the early 1900s.,27,21,gpt-4o
"If you love a sweet mail order bride romance, you will love this story.",17,19,gpt-4o
This is their story of love and bonding over nature.,14,14,gpt-4o
"Still, Naomi tries to focus on her relationship with Bryce.",16,17,gpt-4o
Can it withstand head games and cruel intentions.,12,13,gpt-4o
"I'm not a good guy, Kate.",6,7,gpt-4o
"Stranded with a rich, rugged rancher….",9,12,gpt-4o
Single mom Alexa Rodriguez's first child-free vacation in years is supposed to be low-key.,25,21,gpt-4o
But then she meets brooding Texas rancher Hayes Elliott.,14,15,gpt-4o
"And when a storm strands them together, their undeniable chemistry explodes.",20,19,gpt-4o
Can a man who’s lost everything he holds dear learn how to believe again.,18,19,gpt-4o
"With the help of the townspeople, Gabriel grudgingly carries on with the business.",21,21,gpt-4o
If The Shoe Fits – Book 1.,6,6,gpt-4o
Tangled At First Sight  – Book 6.,7,8,gpt-4o
"Disguised as a prim schoolmarm, she hid more than her alluring beauty.",18,19,gpt-4o
