sentence,ground_truth_syllable_count,predicted_syllable_count,model_id
"However, she's changed and solid in her beliefs.",12,12,google/gemma-2-9b-it
This story is about a young girl's redemption in a small town.,16,16,google/gemma-2-9b-it
 Grace has resigned herself to simply completing the upbringing of her teenage daughter.,22,22,google/gemma-2-9b-it
Donald Braxton becomes the pastor of Grace's church and there is an immediate attraction.,24,26,google/gemma-2-9b-it
Will Grace be able to accept what God has laid before her.,15,18,google/gemma-2-9b-it
" Gwen is grieving for her fiance, Kyle.",10,10,google/gemma-2-9b-it
"Killed in Afghanistan, Kyle is survived by his best friend, Tony.",16,15,google/gemma-2-9b-it
"It's time for Gwen to move on, but she is finding it difficult.",16,18,google/gemma-2-9b-it
 Hannah Heartwell has no idea what she’s doing in Mexico.,17,20,google/gemma-2-9b-it
Her relationship with Jorge has changed as has the sleepy little village.,19,22,google/gemma-2-9b-it
Why is everyone fearful and unhappy.,11,10,google/gemma-2-9b-it
"She has also spent one year dating the school’s charismatic pastor, Jorge.",19,21,google/gemma-2-9b-it
A lot has happened in that one year.,9,10,google/gemma-2-9b-it
The one thing that hasn't happened is a proposal.,13,13,google/gemma-2-9b-it
"If not, she just may have to leave Mexico behind for good..",15,18,google/gemma-2-9b-it
"Her faith, along with her patience, is sorely tested as Christmas approaches.",19,22,google/gemma-2-9b-it
She is torn between two worlds and what is right and wrong.,13,18,google/gemma-2-9b-it
She meets him randomly in the woods at his family's cabin.,16,16,google/gemma-2-9b-it
From the start she's shaken by the lust his touch awakens inside her.,17,26,google/gemma-2-9b-it
"Still mourning the loss of his mate, Cale is stunned to find Sorcha alive.",17,20,google/gemma-2-9b-it
Desire that could unlock their past...or cause him to lose her all over again.,20,22,google/gemma-2-9b-it
You never get over your first love.,9,8,google/gemma-2-9b-it
"But, disappearing into the anonymous folds of a tourist town isn't easy.",22,22,google/gemma-2-9b-it
Her arrival in Tipee Island sets off a string of disturbing acts of vandalism.,23,21,google/gemma-2-9b-it
"It's not only her business, but her very life that's in danger.",16,22,google/gemma-2-9b-it
A stirring tale of love and feud.,8,8,google/gemma-2-9b-it
" Captured by the swashbuckling pirate, Edward Christian, Eleanor feared degradation and, possibly, death.",26,28,google/gemma-2-9b-it
A botched drug raid took her father’s life when she was 7.,14,16,google/gemma-2-9b-it
On her 13th birthday she witnessed her mother’s murder.,14,19,google/gemma-2-9b-it
"Alone in the world, Jennifer Blade sets out to even the score.",16,16,google/gemma-2-9b-it
Little does he know that all vacations are not created equal.,17,20,google/gemma-2-9b-it
"All this, and as Steve says, they still have six days of vacation left.",16,26,google/gemma-2-9b-it
"Their relationship touches long-buried feelings in Jennifer, and shatters the mundane existence suffocating Steve.",29,32,google/gemma-2-9b-it
THE GIRL IN THE STONE CIRCLE is Karen Hayes’ latest novel.,15,18,google/gemma-2-9b-it
And suddenly Emma’s not so sure.,9,10,google/gemma-2-9b-it
"The two are thrown together, amidst the chaotic but secretive lives of the locals.",22,24,google/gemma-2-9b-it
HOW TO CHEER A SAD WIDOWER.,8,11,google/gemma-2-9b-it
If he is considered cynical--some would say positively misanthropic--it's of little consequence to him.,29,26,google/gemma-2-9b-it
"As is the ton's latest darling, Lady Olivia Cunningham.",17,12,google/gemma-2-9b-it
"WHY FALL IN LOVE WITH HIM, OF COURSE.",8,12,google/gemma-2-9b-it
Never has Olivia met a man who so desperately requires a woman's love...,23,22,google/gemma-2-9b-it
THEY WERE THE ORIGINAL ODD COUPLE.,10,12,google/gemma-2-9b-it
"To the English, Bram Ramsdale was Troy Castleman, star of stage and screen.",17,22,google/gemma-2-9b-it
"To Tally, he was just a pain.",8,7,google/gemma-2-9b-it
"Though he was sophisticated, charming and witty, he was definitely not her type.",22,22,google/gemma-2-9b-it
And then the real fireworks began....,8,10,google/gemma-2-9b-it
The gun trained on his chest left him with no choice...,11,12,google/gemma-2-9b-it
So why did it have to hurt so bad...and cost her so much.,14,22,google/gemma-2-9b-it
Caitlyn Brown had never expected C.,10,8,google/gemma-2-9b-it
Starr to walk back into her life after all they'd endured.,14,14,google/gemma-2-9b-it
She nearly burst with happiness ..,8,7,google/gemma-2-9b-it
"Still, Sara wanted to be his wife -- and more.",11,10,google/gemma-2-9b-it
Gavin Carlisle was trapped and he knew it.,10,10,google/gemma-2-9b-it
At least his bride was beautiful.,8,8,google/gemma-2-9b-it
"Her creamy full breasts, smooth alabaster skin, and soft red lips were tempting, indeed.",20,26,google/gemma-2-9b-it
Isla was supposed to get her happily ever after.,15,11,google/gemma-2-9b-it
"The Beast Masters Series, Book 2.",8,10,google/gemma-2-9b-it
Jaston and Malock were once as close as brothers.,12,14,google/gemma-2-9b-it
War and the scars it left behind changed that.,10,10,google/gemma-2-9b-it
"In fact, she’s as spirited as they come.",10,12,google/gemma-2-9b-it
If they don’t do it soon they risk The Heat overtaking them.,15,21,google/gemma-2-9b-it
She wants them to dominate her right into an orgasmic frenzy.,18,21,google/gemma-2-9b-it
This novella is hot and dirty and won’t apologize for that fact.,18,22,google/gemma-2-9b-it
"When Ruel Chouteau returns home after his supposed death, he shocks everyone.",18,21,google/gemma-2-9b-it
Now Ruel and Anne must face a future they never expected.,15,16,google/gemma-2-9b-it
Mixing fire and ice can be hell.,9,8,google/gemma-2-9b-it
Fyra had one job: make the vampire Bishop the underworld’s tool.,16,20,google/gemma-2-9b-it
"But despite her best feminine wiles, the delicious male wouldn’t break.",17,22,google/gemma-2-9b-it
Now pursued by her fellow demons—and one very angry Bishop—she’s running out of options.,24,26,google/gemma-2-9b-it
Does this couple have an icicle's chance in hell.,12,16,google/gemma-2-9b-it
Get your copy to find out.,7,8,google/gemma-2-9b-it
"Sex, blood, and rock n\’ roll.",6,10,google/gemma-2-9b-it
Now I fear it might be true.,7,8,google/gemma-2-9b-it
In eight seconds Dalton Merrill's professional bull riding days—and the fame he enjoyed—ended.,23,22,google/gemma-2-9b-it
"Emilee Walker trusted Dalton with her heart, and he left her for the rodeo.",21,22,google/gemma-2-9b-it
"She wanted Dalton to return home, but not like this.",13,14,google/gemma-2-9b-it
Now she wonders if it's responsibility or love that holds him on Lone Creek.,20,24,google/gemma-2-9b-it
Watch out—these heroes and heroines have claws.,12,10,google/gemma-2-9b-it
Four purrfectly passionate matches are made for the ages in this were-cat collection.,22,24,google/gemma-2-9b-it
Casey Mitchell has always kept his identity as a were-lynx secret.,20,21,google/gemma-2-9b-it
Their survival depends on trusting each other with secrets better left unspoken.,21,24,google/gemma-2-9b-it
Will these two lonely souls triumph and find true love … or lose everything.,17,21,google/gemma-2-9b-it
But falling in love could be the most dangerous game.,13,12,google/gemma-2-9b-it
 A historical western cowboy romance novel about a mail order bride.,20,22,google/gemma-2-9b-it
"Maggie is enthralled with Charles, the man she plans to marry.",14,18,google/gemma-2-9b-it
The loneliness also came then with the social stigma of being a spinster.,20,22,google/gemma-2-9b-it
"To say he was shy, would be the biggest understatement of the century.",19,18,google/gemma-2-9b-it
Not that she does much to catch his attention.,11,14,google/gemma-2-9b-it
A novella by USA Today Bestselling Author Jen Talty.,18,12,google/gemma-2-9b-it
Violet knows she shouldn't be consorting with the enemy.,16,19,google/gemma-2-9b-it
But she can't resist the adorable baby and her handsome new caretaker.,20,22,google/gemma-2-9b-it
Violet traded her chance at motherhood for her career years ago.,18,18,google/gemma-2-9b-it
But raising a family with Jake could be everything she's ever wanted.,19,22,google/gemma-2-9b-it
A killer who was dressed as a LaMar Pond policeman.,14,12,google/gemma-2-9b-it
"But then she's attacked again, and rescued…by a LaMar Pond cop.",17,21,google/gemma-2-9b-it
Trusting Lieutenant Dan Willis is frightening.,12,10,google/gemma-2-9b-it
"But to protect her babies, she'll risk anything.",12,14,google/gemma-2-9b-it
John Cabell secretly commissions Adam to build the most powerful rifle of its time.,23,22,google/gemma-2-9b-it
"Increasingly, it is clear that no good can come from these bitter tensions.",18,24,google/gemma-2-9b-it
Mysterious killings cast a sinister shade over the frontier community.,21,18,google/gemma-2-9b-it
" Is it possible that love, unlike lightning, can strike twice in the same place.",18,22,google/gemma-2-9b-it
"After all this time, old Adam Kyle may harbor one last secret.",16,21,google/gemma-2-9b-it
Jennie Nan spends her time wrapped in boredom.,10,10,google/gemma-2-9b-it
"Now she’s a prisoner of her body, as it slides toward death.",16,20,google/gemma-2-9b-it
"Now, seeking adventure downtown, she’s found Miles Carson, a positively beautiful man.",22,24,google/gemma-2-9b-it
"But oddly, her watch is still running.",9,10,google/gemma-2-9b-it
"Unless it’s using the ghost of a battery, just maybe….",15,14,google/gemma-2-9b-it
"He is distinctly cold towards her, but despite his unpleasantness, he melts her heart….",21,22,google/gemma-2-9b-it
He could go head to head with the devil.,10,10,google/gemma-2-9b-it
But fortunately that wasn't going to be necessary.,16,16,google/gemma-2-9b-it
To his home territory in Chicago.,11,10,google/gemma-2-9b-it
The question was...what would he do with her once he had her.,14,22,google/gemma-2-9b-it
"He needed to find her and love her at any cost, cost, cost.",15,16,google/gemma-2-9b-it
I left the door open.And he stole me.,10,12,google/gemma-2-9b-it
Virginia finds herself back in The House where her nightmare began.,16,21,google/gemma-2-9b-it
PURE TRASH from cover to cover.,8,8,google/gemma-2-9b-it
Which one does he finally choose.,8,10,google/gemma-2-9b-it
"Foiling her brother’s activities, however, becomes her top priority.",20,18,google/gemma-2-9b-it
It should be a dream come true for divorcée Eve Kelly.,14,16,google/gemma-2-9b-it
Twins their secret daddy can never know about….,12,12,google/gemma-2-9b-it
But Eve isn't the same woman he left.,10,11,google/gemma-2-9b-it
It's as if she's hiding something.,8,10,google/gemma-2-9b-it
Adam is used to getting what he wants -- and he wants Eve.,14,15,google/gemma-2-9b-it
I never thought this would be my life.,9,10,google/gemma-2-9b-it
"Against all odds, I’ve managed to ensnare Manhattan’s most eligible bachelor.",21,24,google/gemma-2-9b-it
But the man I love is not who he claims to be.,12,16,google/gemma-2-9b-it
"To the world, he’s a wealthy, mysterious, playboy.",13,14,google/gemma-2-9b-it
"When his enemies come for us, will we be ready.",13,16,google/gemma-2-9b-it
"He doesn’t expect to find such a willing, or seductive, volunteer.",18,22,google/gemma-2-9b-it
Where did he learn therapeutic massage.,10,10,google/gemma-2-9b-it
Fox isn't making it any better by acting differently after her birthday.,21,20,google/gemma-2-9b-it
There’s nothing like a hot kiss on a cold day….,11,12,google/gemma-2-9b-it
"Only Gavin Fraser isn’t a fantasy, he’s a mouth-watering new flavor….",20,21,google/gemma-2-9b-it
"All the Delaneys loved a challenge, but she'd never learned how to surrender.",20,24,google/gemma-2-9b-it
Could she be subdued by the desire in Sloan's golden eyes.,15,18,google/gemma-2-9b-it
" When her twin brother Patrick disappeared, Brianne vowed to track down his abductors.",20,22,google/gemma-2-9b-it
"Then Sloan offered to rescue him, if she'd give herself to him.",15,21,google/gemma-2-9b-it
But would Sloan's desperate feud shatter their dreams of enduring love.,15,20,google/gemma-2-9b-it
The New York Times and USA Today Bestselling series continues..,18,18,google/gemma-2-9b-it
"I belong to him-body, heart, and soul.",10,11,google/gemma-2-9b-it
I found strength in his dominance.,8,8,google/gemma-2-9b-it
But I never imagined it would end like this.,12,12,google/gemma-2-9b-it
I thought I knew what marrying Alexander meant to my life.,16,18,google/gemma-2-9b-it
"That is, until everything gets turned upside down.",12,16,google/gemma-2-9b-it
"Torn between brother and lover, Freya doesn't know who to trust.",16,20,google/gemma-2-9b-it
"And, for the first time, Ingrid is in love with a charming detective.",17,21,google/gemma-2-9b-it
Will the discovery come too late to save those they love most.,15,19,google/gemma-2-9b-it
Ava Minor is done being the good girl.,11,8,google/gemma-2-9b-it
"Except Landon has no intention of letting his daring, seductive lioness go….",22,22,google/gemma-2-9b-it
"To top it all off, I miss my Stunner.",10,11,google/gemma-2-9b-it
"Protecting her body, heart, and soul is one of those.",13,16,google/gemma-2-9b-it
