grapheme,ground_truth_phoneme,predicted_phoneme,model
absolute,ˈæbsəlˌut,/ˈæbsəˌlut/,gpt-4o
academic,ˌækədˈɛmɪk,/ˌækəˈdɛmɪk/,gpt-4o
acceptance,æksˈɛptəns,/əkˈsɛptəns/,gpt-4o
accommodation,əkˌɑmədˈeɪʃən,/əˌkɑməˈdeɪʃən/,gpt-4o
accordance,əkˈɔːɹdəns,/əˈkɔɹdəns/,gpt-4o
acronyms,ˈækɹənɪmz,/ˈækɹəˌnɪmz/,gpt-4o
activist,ˈæktəvəst,/ˈæktɪvɪst/,gpt-4o
adaptive,ədˈæptɪv,/əˈdæptɪv/,gpt-4o
adhere,ədhˈɪɹ,/ədˈhɪɹ/,gpt-4o
admire,ædmˈaɪɹ,/ədˈmaɪɹ/,gpt-4o
admired,ədmˈaɪɚd,/ədˈmaɪɹd/,gpt-4o
advisory,ædvˈaɪzɚi,/ədˈvaɪzəɹi/,gpt-4o
afraid,əfɹˈeɪd,/əˈfɹeɪd/,gpt-4o
afro,ˈæfɹoʊ,/ˈæfɹoʊ/,gpt-4o
agnes,ˈægnɪs,The General American English phonemic transcription for 'Agnes' is /ˈæɡnəs/.,gpt-4o
agreement,əgɹˈiːmənt,/əˈɡɹimənt/,gpt-4o
alert,əlˈɚt,/əˈlɝt/,gpt-4o
allergic,əlˈɚdʒɪk,/əˈlɝdʒɪk/,gpt-4o
alphabet,ˈælfəbˌɛt,/ˈælfəˌbɛt/,gpt-4o
alps,ˈælps,The General American English phonemic transcription for 'alps' is /ælps/.,gpt-4o
ama,ˈɑːmə,/əˈmɑ/,gpt-4o
amp,ˈæmp,The General American English phonemic transcription for 'amp' is /æmp/.,gpt-4o
amps,ˈæmps,/æmps/,gpt-4o
analytical,ˌænəlˈɪtɪkəl,/ˌænəˈlɪtɪkəl/,gpt-4o
anchorage,ˈæŋkɚədʒ,/ˈæŋkəɹɪdʒ/,gpt-4o
answer,ˈænsɚ,/ˈænsɚ/,gpt-4o
answers,ˈænsɚz,/ˈænsɚz/,gpt-4o
anthem,ˈænθəm,The General American English phonemic transcription for 'anthem' is /ˈænθəm/.,gpt-4o
anthropology,ˌænθɹəpˈɑːlədʒi,/ˌænθɹəˈpɑlədʒi/,gpt-4o
apologize,əpˈɑːlədʒˌaɪz,/əˈpɑlədʒaɪz/,gpt-4o
apparently,əpˈɛɹəntli,/əˈpɛɹəntli/,gpt-4o
approximately,əpɹˈɑːksəmətli,/əˈpɹɑksɪmətli/,gpt-4o
aruba,ɚˈuːbə,/əˈɹubə/,gpt-4o
ascent,əsˈɛnt,/əˈsɛnt/,gpt-4o
ask,ˈæsk,/æsk/,gpt-4o
asks,ˈæsks,/æsks/,gpt-4o
aspire,əspˈaɪɹ,/əˈspaɪɹ/,gpt-4o
assembly,əsˈɛmbli,/əˈsɛmbli/,gpt-4o
attentive,ətˈɛntɪv,/əˈtɛntɪv/,gpt-4o
attitude,ˈætətˌud,/ˈætɪˌtud/,gpt-4o
attract,ətɹˈækt,/əˈtɹækt/,gpt-4o
attracted,ətɹˈæktəd,/əˈtɹæktɪd/,gpt-4o
auction,ˈɑːkʃən,The General American English phonemic transcription for 'auction' is /ˈɔkʃən/.,gpt-4o
automobile,ˈɔːtəmoʊbˌil,/ˈɔtəmoʊˌbiːl/,gpt-4o
awake,əwˈeɪk,/əˈweɪk/,gpt-4o
azerbaijani,ˌɑzɚbaɪdʒˈɑːni,/ˌæzɚbaɪˈdʒɑni/,gpt-4o
bahamas,bəhˈɑːməz,/bəˈhɑməz/,gpt-4o
barber,bˈɑːɹbɚ,/ˈbɑɹbɚ/,gpt-4o
basement,bˈeɪsmənt,/ˈbeɪsmənt/,gpt-4o
basketball,bˈæskətbˌɔl,/ˈbæskɪtˌbɔl/,gpt-4o
bathtub,bˈæθtəb,/ˈbæθˌtʌb/,gpt-4o
baxter,bˈækstɚ,/ˈbækstɚ/,gpt-4o
beautifully,bjˈuːtəfli,/ˈbjuːtəfəli/,gpt-4o
beauty,bjˈuːti,/ˈbjuːti/,gpt-4o
beaver,bˈiːvɚ,/ˈbiːvɚ/,gpt-4o
behalf,bɪhˈæf,/bɪˈhæf/,gpt-4o
beings,bˈiːɪŋz,/ˈbiɪŋz/,gpt-4o
belong,bɪlˈɔːŋ,/bɪˈlɔŋ/,gpt-4o
belonged,bɪlˈɔːŋd,/bɪˈlɔŋd/,gpt-4o
belonging,bɪlˈɔːŋɪŋ,/bɪˈlɔŋɪŋ/,gpt-4o
belongs,bɪlˈɔːŋz,/bɪˈlɔŋz/,gpt-4o
bend,bˈɛnd,/bɛnd/,gpt-4o
bending,bˈɛndɪŋ,/bɛndɪŋ/,gpt-4o
beneficial,bˌɛnəfˈɪʃəl,/ˌbɛnəˈfɪʃəl/,gpt-4o
bent,bˈɛnt,/bɛnt/,gpt-4o
bethany,bˈɛθəni,/bɛθəni/,gpt-4o
bid,bˈɪd,/bɪd/,gpt-4o
bidding,bˈɪdɪŋ,/bɪdɪŋ/,gpt-4o
bids,bˈɪdz,/bɪdz/,gpt-4o
biker,bˈaɪkɚ,/ˈbaɪkɚ/,gpt-4o
bingo,bˈɪŋgoʊ,/ˈbɪŋɡoʊ/,gpt-4o
bird,bˈɚd,/bɝd/,gpt-4o
