grapheme,ground_truth_phoneme,predicted_phoneme,model_id
absolute,ˈæbsəlˌut,,google/gemma-2-27b-it
academic,ˌækədˈɛmɪk,,google/gemma-2-27b-it
acceptance,æksˈɛptəns,,google/gemma-2-27b-it
accommodation,əkˌɑmədˈeɪʃən,,google/gemma-2-27b-it
accordance,əkˈɔːɹdəns,,google/gemma-2-27b-it
acronyms,ˈækɹənɪmz,,google/gemma-2-27b-it
activist,ˈæktəvəst,,google/gemma-2-27b-it
adaptive,ədˈæptɪv,,google/gemma-2-27b-it
adhere,ədhˈɪɹ,,google/gemma-2-27b-it
admire,ædmˈaɪɹ,,google/gemma-2-27b-it
admired,ədmˈaɪɚd,,google/gemma-2-27b-it
advisory,ædvˈaɪzɚi,,google/gemma-2-27b-it
afraid,əfɹˈeɪd,,google/gemma-2-27b-it
afro,ˈæfɹoʊ,,google/gemma-2-27b-it
agnes,ˈægnɪs,,google/gemma-2-27b-it
agreement,əgɹˈiːmənt,,google/gemma-2-27b-it
alert,əlˈɚt,,google/gemma-2-27b-it
allergic,əlˈɚdʒɪk,,google/gemma-2-27b-it
alphabet,ˈælfəbˌɛt,,google/gemma-2-27b-it
alps,ˈælps,,google/gemma-2-27b-it
ama,ˈɑːmə,,google/gemma-2-27b-it
amp,ˈæmp,,google/gemma-2-27b-it
amps,ˈæmps,,google/gemma-2-27b-it
analytical,ˌænəlˈɪtɪkəl,,google/gemma-2-27b-it
anchorage,ˈæŋkɚədʒ,,google/gemma-2-27b-it
answer,ˈænsɚ,,google/gemma-2-27b-it
answers,ˈænsɚz,,google/gemma-2-27b-it
anthem,ˈænθəm,,google/gemma-2-27b-it
anthropology,ˌænθɹəpˈɑːlədʒi,,google/gemma-2-27b-it
apologize,əpˈɑːlədʒˌaɪz,,google/gemma-2-27b-it
apparently,əpˈɛɹəntli,,google/gemma-2-27b-it
approximately,əpɹˈɑːksəmətli,,google/gemma-2-27b-it
aruba,ɚˈuːbə,,google/gemma-2-27b-it
ascent,əsˈɛnt,,google/gemma-2-27b-it
ask,ˈæsk,,google/gemma-2-27b-it
asks,ˈæsks,,google/gemma-2-27b-it
aspire,əspˈaɪɹ,,google/gemma-2-27b-it
assembly,əsˈɛmbli,,google/gemma-2-27b-it
attentive,ətˈɛntɪv,,google/gemma-2-27b-it
attitude,ˈætətˌud,,google/gemma-2-27b-it
attract,ətɹˈækt,,google/gemma-2-27b-it
