grapheme,ground_truth_phoneme,predicted_phoneme,model_id
abb,ˈæb,/æb/,google/gemma-2-27b-it
abbot,ˈæbət,/ˈæbət/,google/gemma-2-27b-it
abdicated,ˈæbdəkˌeɪtəd,/əbˈdɪkeɪtɪd/,google/gemma-2-27b-it
abednego,ˌæbɪdˈɛngˌoʊ,/æbˈɛdnɪɡoʊ/,google/gemma-2-27b-it
abelard,ˈæbɪlɚd,/ˈæbəlɑːrd/,google/gemma-2-27b-it
abetment,ˈeɪbəmtˌɛnt,/əˈbɛtmənt/,google/gemma-2-27b-it
abington,ˈæbɪŋtən,/æˈbɪŋtən/,google/gemma-2-27b-it
ableism,ˈeɪbəlˌɪzəm,/ˈeɪblɪzəm/,google/gemma-2-27b-it
abood,əbˈuːd,/əˈbuːd/,google/gemma-2-27b-it
absently,ˈæbstəntli,/ˈæbsəntli/,google/gemma-2-27b-it
abusively,əbˈʌsəvli,/əˈbjuːsɪvli/,google/gemma-2-27b-it
accelerant,æksˈɛlɚənt,/əkˈsɛlərənt/,google/gemma-2-27b-it
accuser,əkjˈuːzɚ,/əˈkjuːzər/,google/gemma-2-27b-it
achievable,ətʃˈiːvəbəl,/əˈtʃiːvəbəl/,google/gemma-2-27b-it
acle,ˈækəl,/ˈeɪkəl/,google/gemma-2-27b-it
acrylamide,ˈækɹəlˌaɪmd,/ˈækrɪləmaɪd/,google/gemma-2-27b-it
adaptability,ədˌæptəbˈɪləti,/əˌdæptəˈbɪləti/,google/gemma-2-27b-it
adjoin,ədʒˈɔɪn,/əˈdʒɔɪn/,google/gemma-2-27b-it
adjoined,ədʒˈɔɪnd,/əˈdʒɔɪnd/,google/gemma-2-27b-it
adjoining,ədʒˈɔɪnɪŋ,/əˈdʒɔɪnɪŋ/,google/gemma-2-27b-it
adjoins,ədʒˈɔɪnz,/əˈdʒɔɪnz/,google/gemma-2-27b-it
adjudicator,ədʒˈuːdəkˌeɪtɚ,/əˈdʒuːdɪkeɪtər/,google/gemma-2-27b-it
admiring,ædmˈaɪɹɪŋ,/ədˈmaɪrɪŋ/,google/gemma-2-27b-it
adoration,ˌædɚˈeɪʃən,/ˌædəˈreɪʃən/,google/gemma-2-27b-it
adr,ˈɑːdɚ,/ædˈɑɹ/,google/gemma-2-27b-it
adroit,ədɹˈɔɪt,/əˈdrɔɪt/,google/gemma-2-27b-it
adulation,ˌædʒəlˈeɪʃən,/ˌædjuˈleɪʃən/,google/gemma-2-27b-it
adversary,ˈædvɚsˌɛɹi,/ˈædvərsɛri/,google/gemma-2-27b-it
aerosol,ˈɛɹəsˌɑl,/ˌɛəɹoʊˈsɒl/,google/gemma-2-27b-it
affidavit,ˌæfədˈeɪvət,/ˌæfəˈdeɪvɪt/,google/gemma-2-27b-it
affliction,əflˈɪkʃən,/əˈflɪkʃən/,google/gemma-2-27b-it
aforesaid,əfˈɔːɹsˌɛd,/əˈfɔːrˌseɪd/,google/gemma-2-27b-it
aft,ˈæft,/æft/,google/gemma-2-27b-it
aftereffect,ˈæftɚəfˌɛkt,/ˌæftəɹɪˈfɛkt/,google/gemma-2-27b-it
afterthought,ˈæftɚθˌɑt,/ˈæftərθɔt/,google/gemma-2-27b-it
ahasuerus,əhˌæʃəwˈɛɹəs,/əˈhæzərəs/,google/gemma-2-27b-it
aileron,ˈeɪlɚˌɑn,/eɪˈlɪrən/,google/gemma-2-27b-it
ainu,ˈeɪnu,/eɪnu/,google/gemma-2-27b-it
akasa,əkˈɑːsə,/əˈkɑːsə/,google/gemma-2-27b-it
akhi,ˈɑːki,/ˈɑki/,google/gemma-2-27b-it
alcaide,ˈælkˌeɪd,/ælˈkaɪd/,google/gemma-2-27b-it
alcool,ˈælkˌul,/ˈælkəl/,google/gemma-2-27b-it
alfalfa,ˌælfˈælfə,/ælˈfæl.fə/,google/gemma-2-27b-it
alibi,ˈæləbˌaɪ,/ˈæləbaɪ/,google/gemma-2-27b-it
alim,ˈælɪm,/əˈlɪm/,google/gemma-2-27b-it
alkin,ˈælkɪn,/ˈɔːlkɪn/,google/gemma-2-27b-it
alliyah,əlˈaɪə,/əˈliːə/,google/gemma-2-27b-it
allusion,əlˈuːʒən,/əˈluːʒən/,google/gemma-2-27b-it
alogliptin,ˌæləgˈɛtɪpən,/əˈlɒɡlɪptɪn/,google/gemma-2-27b-it
alphabets,ˈælfəbˌɛts,/ˈælfəbɛts/,google/gemma-2-27b-it
altaic,æltˈeɪɪk,/ælˈteɪɪk/,google/gemma-2-27b-it
