grapheme,ground_truth_phoneme,predicted_phoneme,model
absolute,ˈæbsəlˌut,The General American English pronunciation of 'absolute' is /ˈæbsəˌlut/.,gpt-3.5-turbo
academic,ˌækədˈɛmɪk,The General American English pronunciation of 'academic' is /ˌækəˈdɛmɪk/.,gpt-3.5-turbo
acceptance,æksˈɛptəns,The General American English pronunciation of 'acceptance' is /əkˈsɛptəns/.,gpt-3.5-turbo
accommodation,əkˌɑmədˈeɪʃən,The General American English pronunciation of 'accommodation' is /əˌkɑməˈdeɪʃən/.,gpt-3.5-turbo
accordance,əkˈɔːɹdəns,The General American English pronunciation of 'accordance' is /əˈkɔɹdəns/.,gpt-3.5-turbo
acronyms,ˈækɹənɪmz,The General American English pronunciation of 'acronyms' is /ˈækrəˌnɪmz/.,gpt-3.5-turbo
activist,ˈæktəvəst,The General American English pronunciation of 'activist' is /ˈæk.tɪ.vɪst/.,gpt-3.5-turbo
adaptive,ədˈæptɪv,The General American English pronunciation of 'adaptive' is /əˈdæptɪv/.,gpt-3.5-turbo
adhere,ədhˈɪɹ,The General American English pronunciation of 'adhere' is /ədˈhɪɹ/.,gpt-3.5-turbo
admire,ædmˈaɪɹ,The General American English pronunciation of 'admire' is /ədˈmaɪɹ/.,gpt-3.5-turbo
admired,ədmˈaɪɚd,The General American English pronunciation of 'admired' is /ədˈmaɪɹd/.,gpt-3.5-turbo
advisory,ædvˈaɪzɚi,The General American English pronunciation of 'advisory' is /ədˈvaɪzəɹi/.,gpt-3.5-turbo
afraid,əfɹˈeɪd,The General American English pronunciation of 'afraid' is /əˈfɹeɪd/.,gpt-3.5-turbo
afro,ˈæfɹoʊ,The General American English pronunciation of 'afro' is /ˈæfɹoʊ/.,gpt-3.5-turbo
agnes,ˈægnɪs,The General American English pronunciation of 'agnes' is /ˈæɡnəs/.,gpt-3.5-turbo
agreement,əgɹˈiːmənt,The General American English pronunciation of 'agreement' is /əˈɡɹimənt/.,gpt-3.5-turbo
alert,əlˈɚt,The General American English pronunciation of 'alert' is /əˈlɝt/.,gpt-3.5-turbo
